vid,start,end,text
h-4XmE4xpxA,399,6799,assalamu alaikum this is amna and we're  back with another episode of passion  fortnightly or mirasati
h-4XmE4xpxA,6799,12080,peppermint humbug chocolate chip mint  chocolate chips
h-4XmE4xpxA,12080,15719,the last time it is
h-4XmE4xpxA,27760,30760,traveling
h-4XmE4xpxA,56879,59840,foreign
h-4XmE4xpxA,68080,75280,please subscribe i want to see all of  you subscribing to the channel hit the  bell icon this is a new channel a new us
h-4XmE4xpxA,75280,82080,and a new us and we will be very regular  and we will be very ruthless very very  good yes
h-4XmE4xpxA,83920,86920,yes
h-4XmE4xpxA,105600,111320,thank you for joining and let's meet  after this short break
h-4XmE4xpxA,116140,122960,[Music]  okay so i tell you something there's so
h-4XmE4xpxA,122960,128239,much love that you guys give to us  i met so many people in these trips here
h-4XmE4xpxA,128239,133760,and there i've met people in qatar i met  people in uh abu dhabi i met people in
h-4XmE4xpxA,133760,138480,when i go where else do i go turkey  turkey
h-4XmE4xpxA,138800,146080,yeah so turkey and i met people in yeah  and so much of love you guys gave radh
h-4XmE4xpxA,146080,153640,9 51 p.m and i am i met this lovely lady
h-4XmE4xpxA,170150,173258,[Music]
h-4XmE4xpxA,182840,189920,yeah oh thank you so much that is so  encouraging  so genuine like you know thank you nadia
h-4XmE4xpxA,189920,195200,we love you yes and people like nadia  who watch who give us a lot of respect
h-4XmE4xpxA,195200,201120,and who give us a lot of  a lot of feedback and it's very generous  of people very kind to give such
h-4XmE4xpxA,201120,206319,open-hearted feedback or maybe  we had a meet-and-greet in dc one in new
h-4XmE4xpxA,206319,212439,jersey you know log something hot wallet  programs video reviews
h-4XmE4xpxA,222400,225400,foreign
h-4XmE4xpxA,236480,241760,so i've tried to collect pictures of  celebrities
h-4XmE4xpxA,241760,247840,across the last one month so tori seeks  smattering of hair
h-4XmE4xpxA,248780,251830,[Applause]
h-4XmE4xpxA,258140,263199,[Music]  um it was a
h-4XmE4xpxA,263199,267720,a dress a belted dress a leather
h-4XmE4xpxA,280560,286000,whoever has placed her in this outfit i  didn't like the outfit
h-4XmE4xpxA,286080,291759,yeah elaborate why elaborate why because  i don't know i didn't feel the outfit  was
h-4XmE4xpxA,291759,299520,myra worthy it wasn't marathon it was uh  she was under dressed i believe and uh
h-4XmE4xpxA,299520,305440,of course she wanted to wear monochrome  known a white and black kia hair belt
h-4XmE4xpxA,305440,311680,but you know i didn't like the outfit  actually  yeah monochrome because everybody was in
h-4XmE4xpxA,311680,318080,black and white okay but i saw another  outfit of mahera in the video that she  released on her instagram
h-4XmE4xpxA,318080,324880,okay i really like and this one is a  no-no  but i really like the
h-4XmE4xpxA,340479,346960,as i said you know there may they could  have been a jacket or maybe maya the way  she's like boho she could have carried a
h-4XmE4xpxA,346960,353919,scarf with it or something you know just  to break it a little bit but uh it was  she had a beach party in the afternoon
h-4XmE4xpxA,353919,360639,yeah then that was a very  it's not a star level outfit you know if  she's even wearing yeah if she's even
h-4XmE4xpxA,360639,366639,going to an understated uh thing and she  just wants to keep it very very casual  yeah you know there are different
h-4XmE4xpxA,366639,372319,outfits for that too so you understand  the event and then dress up and i expect  a lot more from mahera that is the
h-4XmE4xpxA,372319,381039,reason i'm saying that that outfit was  not  yeah it was not a good outfit but the  second promotional uh outfit that
h-4XmE4xpxA,383840,392840,and they selected this one to wear at  the event no i saw her wearing this in  an interview these black leather pants
h-4XmE4xpxA,404639,411280,but i think this shirt looked really  really nice on her even in the video the  shirt was looking really crisp and nice
h-4XmE4xpxA,411280,416800,because you know her body is such that  that beautiful white crisp shirt looks
h-4XmE4xpxA,416800,423440,really really nice on her even on her  skin tone so yeah no and she's she's got  i mean you can stay in these pants these
h-4XmE4xpxA,423440,429440,leather you know so i mean she's  carrying them very well yeah  you know and she always has that has the
h-4XmE4xpxA,429440,436080,right shoe and the right hand  um  so i felt this was a really smart look
h-4XmE4xpxA,436080,441120,yeah i don't know  the interview  looks really nice and side parted big
h-4XmE4xpxA,441120,446400,waves rather than center parted right  right uh because uh face is that sort
h-4XmE4xpxA,446400,450080,okay both side parts the other i think
h-4XmE4xpxA,457440,463280,a lot of black and white for this which  is great it's summer and white hair but  then maybe she's feeling too hot in it's
h-4XmE4xpxA,463280,469520,outdoors a lot of times yeah you know  she keeps it safe but it needs to be  like occasion appropriate yeah for sure
h-4XmE4xpxA,469520,473280,for sure and her stature appropriate
h-4XmE4xpxA,476220,483270,[Music]
h-4XmE4xpxA,488160,493840,and all of that so let's begin with  um the look that we saw at the
h-4XmE4xpxA,493840,499599,trailer launch  do you remember that look so she wore  this zebra skin okay first of all i need
h-4XmE4xpxA,499599,506639,to speak something about kumbli it's a  very very beautiful film i got a chance  to go and watch that film
h-4XmE4xpxA,506639,512640,and  bought the ticket and went and watched  the film well done and it was oh yeah it
h-4XmE4xpxA,512640,518719,is a beautiful beautiful beautiful i'm  spelled i was i called saba after that i
h-4XmE4xpxA,518719,525120,called sarmad after that spoke to them  and i was in tears because it is such a  beautiful film
h-4XmE4xpxA,525120,531680,and  this is what i proudly call pakistani  cinema because actually
h-4XmE4xpxA,531680,534680,s
h-4XmE4xpxA,546240,549120,yes oh my god
h-4XmE4xpxA,552800,558160,but coming to the fashion side of the  trailer launch yes uh zebra print yes
h-4XmE4xpxA,558160,563760,was a good effort uh yes uh it was uh  uh
h-4XmE4xpxA,563760,571200,but not a fan of the print but she  carried it really nicely i don't think  it was occasion appropriate at all i i
h-4XmE4xpxA,571200,577279,didn't like the suit at all because i  felt that sabah's carrying this whole  power suit thing throughout her
h-4XmE4xpxA,577279,583040,promotions  i don't know tabish what do you think
h-4XmE4xpxA,583040,588480,about this okay you know just  filmed a trailer launch
h-4XmE4xpxA,590720,597120,so  shouldn't your outfit or your look be a  little bit in synergy with with the film
h-4XmE4xpxA,597120,604640,it should definitely represent the  character that you have played in the  film so that it tells a little bit of  story connection you know because you
h-4XmE4xpxA,604640,610320,play you you you put you up you've  performed now you're promoting that  performance this is before the film has
h-4XmE4xpxA,610320,615360,released yeah it's not the premiere yeah  so you so what to expect from the film
h-4XmE4xpxA,615360,618760,yes certainly
h-4XmE4xpxA,620620,623669,[Music]
h-4XmE4xpxA,626140,633279,[Music]  i'm not a fan of the outfit i'm not a  fan of the print but she carried it
h-4XmE4xpxA,633279,638959,nicely  beautiful and she's so tall that she  will carry the power suit sure but i was
h-4XmE4xpxA,638959,645040,not a fan but joby's style karai they  don't need to  overdo her because she has a personality
h-4XmE4xpxA,645040,650079,which can overpower the entire thing  another suit
h-4XmE4xpxA,650079,657839,you know um orange suit with a pink  under shirt  very sorbet very like summer with the
h-4XmE4xpxA,657839,663279,high bar and half one  but again i'm not a fan of the suit yeah
h-4XmE4xpxA,663279,668640,because it's too tight on the uh upper  waist yeah and it's giving a lot of
h-4XmE4xpxA,668640,675120,potential to her bust which is not  required at all it is giving that peplum
h-4XmE4xpxA,701360,707360,this was a nice look yes definitely this  pink jacket over the liquid
h-4XmE4xpxA,707360,713600,you give away this is the wow yes this  is  our romantic behavior
h-4XmE4xpxA,713600,717040,you know it's organza floral
h-4XmE4xpxA,744639,750240,her face looks beautiful i mean the hair  and makeup is just spot on this is a  really good look this is that this is a
h-4XmE4xpxA,750240,755600,really good so this was one of my  favorite promotional looks so here's  another promotional look tabish this is
h-4XmE4xpxA,755600,760720,like a a dress a mint green dress with a  lavender jacket
h-4XmE4xpxA,760720,766399,i give her marks for this also yeah this  is also this is nice and cool and giving  a very very summery vibe and this she
h-4XmE4xpxA,766399,773079,wore for one of her interviews very  clean and simple exactly this also i  like
h-4XmE4xpxA,778320,784079,absolutely absolutely i didn't like the  peplum bit of it you know and the zebra  print and
h-4XmE4xpxA,784079,789279,agreed agreed  actually there's another power suit what  do you say for this no the white one no
h-4XmE4xpxA,789279,792720,no he's giving me very ali
h-4XmE4xpxA,805440,811440,such a nice picture but again not for  comedy  yeah not for coming
h-4XmE4xpxA,812000,818079,uh okay  ah not for completely not for cumbly  henna yes yeah but i mean i again again
h-4XmE4xpxA,818079,824120,i'm not a fan of the power suit for the  comedy promotion um
h-4XmE4xpxA,849120,854800,and i think i think she looks lovely  i really like she looks very very old  school
h-4XmE4xpxA,854800,860959,there's this old school charm and i live  glamour  glamour you know
h-4XmE4xpxA,860959,870760,the lollywood nights you know the red  carpet all she needs like a cigar shan  is standing waiting for uh the actress
h-4XmE4xpxA,888160,895279,i know but this is such a beautiful look  i mean this i loved really really  beautiful
h-4XmE4xpxA,907600,913639,this is the pakistani version of a gown  of a gown yeah
h-4XmE4xpxA,922840,928320,[Music]  that had more character so i will give  her more masks for that this is very
h-4XmE4xpxA,928320,933519,classic very clean but very expected  yeah very very expensive
h-4XmE4xpxA,937759,943360,nails or her jewelry everything is like  spot on on point the little clutch the
h-4XmE4xpxA,943360,948800,ring and since everything is so busy so  she kept her hair tied  exactly what do you have to say about
h-4XmE4xpxA,948800,955040,the hair and makeup  it's nice i like the blue outfit hair  and makeup because uh it's has it has
h-4XmE4xpxA,955040,960800,more character and more drama to the  entire thing yeah you know gown down  what did you feel is white can there be
h-4XmE4xpxA,960800,966800,a vessel  another outfitter  but it has sleeves and it is more
h-4XmE4xpxA,966800,974000,covered and i like it  so yeah that's that's no i really like  it so uh
h-4XmE4xpxA,974000,979839,verdict a promotional looks  my power suits were not powerful  organza
h-4XmE4xpxA,979839,982839,uh
h-4XmE4xpxA,1003199,1006519,not for complete
h-4XmE4xpxA,1022160,1024799,because let
h-4XmE4xpxA,1032240,1039280,there are very few people who can  represent our country  from the actresses fraternity
h-4XmE4xpxA,1039280,1047120,please try  and put the pakistani essence that you  have  forward when you're attending
h-4XmE4xpxA,1047120,1052320,a show of such level or stature where  you are standing and representing our
h-4XmE4xpxA,1052320,1057760,country because  uh we expect a lot from you at least i  expect i think we need to talk about the
h-4XmE4xpxA,1057760,1061120,marvel  outfits
h-4XmE4xpxA,1071840,1080400,no idea i have no idea about that  but  your face looks beautiful beautiful
h-4XmE4xpxA,1107520,1113600,i like the look he doesn't like the look  now he's trying to find out caleb kiss  nicholas
h-4XmE4xpxA,1114799,1121679,producer i love this picture of mavish  with germain jashermin was wearing sanya  maskatiya and she was like complete like
h-4XmE4xpxA,1121679,1128000,in pakis made in pakistan mode but you  know i'm  mavish is like
h-4XmE4xpxA,1128000,1134400,too hot to say anything maybe she's too  hot to say anything maybe she's a star  she's a star somebody who belongs on the
h-4XmE4xpxA,1134400,1140320,big screen she belongs on the red carpet  she completely owns it and i personally  i i really like her look her face looks
h-4XmE4xpxA,1140320,1145520,like there's nothing written about the  outfit  about the shoes and clutch and
h-4XmE4xpxA,1145520,1151200,uh  all of that but i think she she bought  this outfit from somewhere in us i think
h-4XmE4xpxA,1151200,1156640,uh  but  it's nice whoever put it together but  yeah
h-4XmE4xpxA,1156640,1162160,look at this  and the half tied hair and the hair  color i love your hair color marvish
h-4XmE4xpxA,1162160,1168000,it's so beautiful i'll be changed  i think this is the color you need to go  back to this is really nice color you
h-4XmE4xpxA,1168000,1174640,know it's giving this brazilian beauty  joe  she's looking really really nice  beautiful and that's my
h-4XmE4xpxA,1174640,1179240,that's my million dollar million dollars
h-4XmE4xpxA,1205200,1211360,i don't know who did the makeup dude she  had like a lot of colors like there was  something i saw in the end there was a
h-4XmE4xpxA,1211360,1214240,there was a red line
h-4XmE4xpxA,1218400,1225440,but you're not a fan of the look i'm not  a fan of the outfit though  i'm not a fan of the outfit
h-4XmE4xpxA,1225440,1230480,i have to say that mevish in this outfit  is also in character of
h-4XmE4xpxA,1230480,1235720,who she represents in the film because  boys
h-4XmE4xpxA,1268960,1277240,but you know i told them that it looked  really really nice really nice and i  loved humayun was because i think
h-4XmE4xpxA,1291600,1296640,so there was a theme behind it but then  there could have been a better london  representation
h-4XmE4xpxA,1296640,1303679,for uh from irish for sure  you're right let's can't overdo the  conversation on that because
h-4XmE4xpxA,1303679,1310159,i'm sure there's a lot more now and i'm  sure she's going to start building the  character through her appearances on the
h-4XmE4xpxA,1310159,1316679,red carpet and all of that so yeah  of you oh yeah
h-4XmE4xpxA,1317530,1320589,[Applause]
h-4XmE4xpxA,1323900,1327769,[Music]
h-4XmE4xpxA,1329120,1332120,oh
h-4XmE4xpxA,1339760,1347200,guys this is how you do a red carpet now  nobody is thinking and it is not because  she's a gory and it is not because she's
h-4XmE4xpxA,1347200,1354240,a famous actress  also not because she's wearing shorts
h-4XmE4xpxA,1354240,1361200,because this could have been translated  oh this could have been trousers but oh  my god  everything
h-4XmE4xpxA,1382000,1389559,but the color  and the poise  and that that silhouette eventually
h-4XmE4xpxA,1400480,1405120,and with the hair she's trying to pull  up the old world charm
h-4XmE4xpxA,1406880,1413480,which is really really beautiful you  know she's at least try to represent her  culture
h-4XmE4xpxA,1426159,1429159,is
h-4XmE4xpxA,1471110,1474170,[Music]
h-4XmE4xpxA,1477840,1483159,[Music]
h-4XmE4xpxA,1511260,1514339,[Music]
h-4XmE4xpxA,1540320,1543320,foreign
h-4XmE4xpxA,1595840,1598840,foreign
h-4XmE4xpxA,1623120,1626120,foreign
h-4XmE4xpxA,1647600,1654720,starting of every month if a film gets  released then it will get more views  because that time everybody gets
