vid,start,end,text
TUN2aaMgozM,399,3040,it was a sobering evening we expected it
TUN2aaMgozM,3040,4319,i think every manchester united fan
TUN2aaMgozM,4319,5759,expects that not one manchester united
TUN2aaMgozM,5759,7440,fan came here tonight with any hope
TUN2aaMgozM,7440,8639,whatsoever
TUN2aaMgozM,8639,10080,but you still try and build yourself up
TUN2aaMgozM,10080,11840,in that little sort of half an hour
TUN2aaMgozM,11840,13519,pre-kick off you're thinking
TUN2aaMgozM,13519,15920,could something happen but nothing that
TUN2aaMgozM,15920,17680,team's got nothing
TUN2aaMgozM,17680,19840,is that the most worrying thing the fact
TUN2aaMgozM,19840,22320,that it's it's predictable now yeah it
TUN2aaMgozM,22320,23920,is predictable and they have got but
TUN2aaMgozM,23920,25680,actually there's some decent players out
TUN2aaMgozM,25680,27680,on that pitch and there's some talent so
TUN2aaMgozM,27680,30080,i have no idea i cannot explain how it's
TUN2aaMgozM,30080,32078,gone from what would be sort of slightly
TUN2aaMgozM,32078,33280,promising at the end of last season
TUN2aaMgozM,33280,34559,finishing second i know the lost in
TUN2aaMgozM,34559,37040,europa league final which was a bad one
TUN2aaMgozM,37040,38640,to the point where we are today which is
TUN2aaMgozM,38640,41040,an all-time low in my 42 years of
TUN2aaMgozM,41040,42879,watching united i've never said it as
TUN2aaMgozM,42879,44480,bad as that i've never seen it you know
TUN2aaMgozM,44480,46000,you made a point before
TUN2aaMgozM,46000,47360,liverpool
TUN2aaMgozM,47360,49680,when we were playing weren't that great
TUN2aaMgozM,49680,51199,but i don't think they ever gave us a
TUN2aaMgozM,51199,52640,game like that it was always tough it
TUN2aaMgozM,52640,54239,was always hard to beat liverpool at old
TUN2aaMgozM,54239,56079,trafford and
TUN2aaMgozM,56079,57520,anfield there was once we beat you four
TUN2aaMgozM,57520,59039,nil but i think you got hippie sent off
TUN2aaMgozM,59039,60160,in the first minute of the game and
TUN2aaMgozM,60160,61520,there was ex it was an explanation
TUN2aaMgozM,61520,63039,behind it i've never seen a manchester
TUN2aaMgozM,63039,65600,united team wilt and be as flaky in a
TUN2aaMgozM,65600,68080,game of football or liverpool in my 40
TUN2aaMgozM,68080,69680,years you keep speaking about the
TUN2aaMgozM,69680,72960,ownership and this is
TUN2aaMgozM,72960,74720,the last few weeks or months or going
TUN2aaMgozM,74720,76240,back a long time
TUN2aaMgozM,76240,78720,now my point on that is yeah if that's
TUN2aaMgozM,78720,80400,not right your football club is not
TUN2aaMgozM,80400,81840,going to be maybe winning league titles
TUN2aaMgozM,81840,83840,or european club cups
TUN2aaMgozM,83840,85040,but if you
TUN2aaMgozM,85040,88159,roy nicki bought all the real characters
TUN2aaMgozM,88159,89920,you had at a football club were in a
TUN2aaMgozM,89920,92400,situation where you were here now
TUN2aaMgozM,92400,94079,you you wouldn't go and drop your
TUN2aaMgozM,94079,95920,performance as low as that we've been
TUN2aaMgozM,95920,97840,there with hicks and gillette when
TUN2aaMgozM,97840,99360,things were included different managers
