vid,start,end,text
G1W5WqPe01E,1839,4480,selena gomez had a footwear mishap at
G1W5WqPe01E,4480,7839,the 2022 sag awards the moment became
G1W5WqPe01E,7839,10400,the answer to a popular question people
G1W5WqPe01E,10400,13360,asked during the broadcast why is selena
G1W5WqPe01E,13360,16320,barefoot on stage put simply it's
G1W5WqPe01E,16320,18480,because she's a professional who knows
G1W5WqPe01E,18480,21680,the show must go on it's amazing you
G1W5WqPe01E,21680,25119,just wait here's what went down
G1W5WqPe01E,25119,27439,that's selena stunning in her oscar de
G1W5WqPe01E,27439,28960,la renta gown
G1W5WqPe01E,28960,31519,now this next part happened mostly
G1W5WqPe01E,31519,33920,off-camera but anyone can see in the
G1W5WqPe01E,33920,36800,moment shortly after selena actually
G1W5WqPe01E,36800,40160,tripped on the red carpet
G1W5WqPe01E,40399,42559,thankfully some nearby heroes helped the
G1W5WqPe01E,42559,44960,star get back on her feet and selena
G1W5WqPe01E,44960,47520,safely made her way inside
G1W5WqPe01E,47520,49680,where she was set to present alongside
G1W5WqPe01E,49680,52000,her only murders in the building co-star
G1W5WqPe01E,52000,53840,martin short what a shame the great
G1W5WqPe01E,53840,56000,steve martin couldn't join us tonight
G1W5WqPe01E,56000,57440,for the three of us
G1W5WqPe01E,57440,59039,are really a family
G1W5WqPe01E,59039,61359,and that we often eat meals together in
G1W5WqPe01E,61359,64158,total silence
G1W5WqPe01E,64158,66479,but her louboutin pumps were apparently
G1W5WqPe01E,66479,69280,uninvited i like to to come at things
G1W5WqPe01E,69280,72320,with my best eagle-eyed fans immediately
G1W5WqPe01E,72320,74880,noticed selena was barefoot when she
G1W5WqPe01E,74880,77439,stepped on stage buffy ordeal didn't
G1W5WqPe01E,77439,79360,seem to mess with selena's comedic
G1W5WqPe01E,79360,82560,timing he's excited i'm excited yes i'm
G1W5WqPe01E,82560,84320,excited too although it's hard for me to
G1W5WqPe01E,84320,86799,express my excitement because the botox
G1W5WqPe01E,86799,89360,is fresh
G1W5WqPe01E,90160,93750,[Applause]
G1W5WqPe01E,94560,96560,all right mine too and the actor goes
G1W5WqPe01E,96560,97600,too
G1W5WqPe01E,97600,99840,selena continues to look unfazed
G1W5WqPe01E,99840,102479,throughout the night remaining shoeless
G1W5WqPe01E,102479,104640,even as she chatted it up with some big
G1W5WqPe01E,104640,105840,names
G1W5WqPe01E,105840,109040,nicole kittman lady gaga and jared leto
G1W5WqPe01E,109040,111040,all witnessed selena's last minute
G1W5WqPe01E,111040,114079,fashion solve up close
G1W5WqPe01E,114079,116159,thankfully nothing could stop the 29
G1W5WqPe01E,116159,118560,year old singer on the big night she was
G1W5WqPe01E,118560,120719,also celebrating her first sag award
G1W5WqPe01E,120719,123360,nomination following her performance and
G1W5WqPe01E,123360,125759,only murders in the building i think we
G1W5WqPe01E,125759,127920,should just hit him with the charm good
G1W5WqPe01E,127920,130000,excellent so i'll take the lead on this
G1W5WqPe01E,130000,132560,excuse me well i can turn on the charm
G1W5WqPe01E,132560,134879,is it on now
G1W5WqPe01E,134879,136720,it's just warming up
G1W5WqPe01E,136720,138720,selena and the all-star cast earned a
G1W5WqPe01E,138720,141040,nod for outstanding performance by an
G1W5WqPe01E,141040,143840,ensemble in a comedy series the premiere
G1W5WqPe01E,143840,146480,of season two is still a long way out
G1W5WqPe01E,146480,148400,but selena is sharing fun behind the
G1W5WqPe01E,148400,150959,scenes antics like these to tic toc
G1W5WqPe01E,150959,152400,steve um
G1W5WqPe01E,152400,155440,so how did you get into collecting art
G1W5WqPe01E,155440,158080,yep that's the actress on set trolling
G1W5WqPe01E,158080,160720,her comedy legend co-stars just check
G1W5WqPe01E,160720,163599,out this epic eye roll oh that's really
G1W5WqPe01E,163599,165840,really interesting because i started
G1W5WqPe01E,165840,168560,very very young and i used my eyes to
G1W5WqPe01E,168560,169920,look at art and i didn't know you used
G1W5WqPe01E,169920,172640,your eyes no i thought you kind of felt
G1W5WqPe01E,172640,174800,it and sensed it right so that's just
G1W5WqPe01E,174800,178519,with a live model
G1W5WqPe01E,179470,183370,[Music]
