vid,start,end,text
suAj2JGAE_A,160,2560,hey dad look my friends after this can
suAj2JGAE_A,2560,4480,we go get ice cream with them i'm
suAj2JGAE_A,4480,6560,already taking you to the park let's not
suAj2JGAE_A,6560,9440,act spoiled if i were spoiled it'd look
suAj2JGAE_A,9440,11840,a little something like this
suAj2JGAE_A,11840,15640,can't see with all that bling
suAj2JGAE_A,15640,24960,[Music]
suAj2JGAE_A,24960,28519,haven't you heard
suAj2JGAE_A,29030,57039,[Music]
suAj2JGAE_A,57039,58960,how it feels to be the one on the
suAj2JGAE_A,58960,61440,outside one trying to fade in when she
suAj2JGAE_A,61440,63680,comes around like she don't really get
suAj2JGAE_A,63680,65920,it i could spell it out for her maybe it
suAj2JGAE_A,65920,69119,was sinking poi led she spoiled then she
suAj2JGAE_A,69119,70720,quit
suAj2JGAE_A,70720,100720,[Music]
suAj2JGAE_A,105680,107200,okay so hold up
suAj2JGAE_A,107200,109200,then i start dancing
suAj2JGAE_A,109200,111680,yes because if i were spoiled i'd get
suAj2JGAE_A,111680,113920,everything i wanted okay you've made
suAj2JGAE_A,113920,116560,your point you're definitely not spoiled
suAj2JGAE_A,116560,119600,does that mean we get ice cream please
suAj2JGAE_A,119600,123610,[Music]
