vid,start,end,text
xfbfjWjTF1s,4880,6480,no report there in this defense she
xfbfjWjTF1s,6480,8480,wonders it'll affect their defensive
xfbfjWjTF1s,8480,10559,setup and it goes
xfbfjWjTF1s,10559,12559,and it's heading in and liverpool with
xfbfjWjTF1s,12559,13920,canada
xfbfjWjTF1s,13920,16000,well they've been warned he scored with
xfbfjWjTF1s,16000,17840,a header from the corner in lisbon
xfbfjWjTF1s,17840,20240,against benfica he scored with a header
xfbfjWjTF1s,20240,21920,from the corner at anfield against
xfbfjWjTF1s,21920,24160,benfica and he scored a header from the
xfbfjWjTF1s,24160,26320,corner at wembley in the fa cup
xfbfjWjTF1s,26320,29870,semi-final i mean it's a wonderful leap
xfbfjWjTF1s,29870,34490,[Applause]
xfbfjWjTF1s,38079,41360,oh i say it's two nil
xfbfjWjTF1s,41360,44399,what an awful error by zach steffen
xfbfjWjTF1s,44399,47440,manchester city nil liverpool 2.
xfbfjWjTF1s,47440,49520,well it's an awful mistake from the
xfbfjWjTF1s,49520,51760,goalkeeper and we talk about being calm
xfbfjWjTF1s,51760,53520,and we see it from edison
xfbfjWjTF1s,53520,55680,stefan today coming in and he just takes
xfbfjWjTF1s,55680,57990,too long it's just ridiculous
xfbfjWjTF1s,57990,61119,[Applause]
xfbfjWjTF1s,62079,64400,alexander arnold boomed away to luis
xfbfjWjTF1s,64400,65439,diaz
xfbfjWjTF1s,65439,67760,first time controlled by louis diaz
xfbfjWjTF1s,67760,70159,inside joe cancello hit by robertson
xfbfjWjTF1s,70159,73439,blocked by stones luis diaz again
xfbfjWjTF1s,73439,76240,andrew robertson
xfbfjWjTF1s,76240,77680,thiago
xfbfjWjTF1s,77680,80880,alexander arnold thiago and manny
xfbfjWjTF1s,80880,82799,three-nil
xfbfjWjTF1s,82799,84960,and manchester city
xfbfjWjTF1s,84960,87119,may not recover from that
xfbfjWjTF1s,87119,89520,it might be a knockout blow before we're
xfbfjWjTF1s,89520,93680,even halfway through this cup semi-final
xfbfjWjTF1s,93680,96159,absolute quality
xfbfjWjTF1s,96159,99320,from liverpool
xfbfjWjTF1s,106560,109119,nicely weighted ball into gabriel jesus
xfbfjWjTF1s,109119,111680,lovely turn shooting chance he didn't
xfbfjWjTF1s,111680,115600,take it but greelish did different game
xfbfjWjTF1s,115600,118240,manchester city have scored
xfbfjWjTF1s,118240,121119,70 seconds into the second half
xfbfjWjTF1s,121119,122880,jack greelish
xfbfjWjTF1s,122880,124479,3-1
xfbfjWjTF1s,124479,127119,that is a really good quality finish
xfbfjWjTF1s,127119,127980,game on
xfbfjWjTF1s,127980,132560,[Applause]
xfbfjWjTF1s,132560,135920,sterling for bernardo silva
xfbfjWjTF1s,136080,138720,zhao cancelo sterling gabriel jesus
xfbfjWjTF1s,138720,141440, stay down jesus being chased by
xfbfjWjTF1s,141440,143280,van dyke who forces him wide anderson
xfbfjWjTF1s,143280,144480,with the save
xfbfjWjTF1s,144480,149280,[Applause]
xfbfjWjTF1s,149280,150959,cater
xfbfjWjTF1s,150959,153040,caught by fernandinho that has to be a
xfbfjWjTF1s,153040,154160,card
xfbfjWjTF1s,154160,155680,yeah i think it's just about yellow but
xfbfjWjTF1s,155680,156640,look at the
xfbfjWjTF1s,156640,158410,see the velocity of that challenge there
xfbfjWjTF1s,158410,163120,[Applause]
xfbfjWjTF1s,163120,165599,cut out by bernardo silva here's jack
xfbfjWjTF1s,165599,168080,greylish and gabriel jesus is in
xfbfjWjTF1s,168080,169519,gabriel's chase
xfbfjWjTF1s,169519,172879,huge save by allison huge save by the
xfbfjWjTF1s,172879,177519,liverpool goalkeeper to keep it 3-1
xfbfjWjTF1s,181519,184959,robertson luis diaz might be on side his
xfbfjWjTF1s,184959,187120,touch is good as he found salad
xfbfjWjTF1s,187120,189280,zinchenko's a bit short
xfbfjWjTF1s,189280,192959,and it's side netting from mohamed salah
xfbfjWjTF1s,192959,194000,wonderful
xfbfjWjTF1s,194000,197040,initially diaz look at this for a touch
xfbfjWjTF1s,197040,199599,clocks it just puts it into that center
xfbfjWjTF1s,199599,201760,and kinchenko really
xfbfjWjTF1s,201760,203840,elects to try and head it back
xfbfjWjTF1s,203840,207530,he gets away with it
xfbfjWjTF1s,207530,215278,[Applause]
xfbfjWjTF1s,215519,217280,is riyad mahrez getting outside
xfbfjWjTF1s,217280,220239,robertson norris to the byline
xfbfjWjTF1s,220239,222720,and bernardo silva has scored from
xfbfjWjTF1s,222720,226959,manchester city it's 3-2 and the board
xfbfjWjTF1s,226959,229120,has just gone up to show four added
xfbfjWjTF1s,229120,230239,minutes
xfbfjWjTF1s,230239,235170,and manchester city are not done yet
xfbfjWjTF1s,235170,236280,[Applause]
xfbfjWjTF1s,236280,239450,[Music]
xfbfjWjTF1s,239450,242000,[Applause]
xfbfjWjTF1s,242000,243680,it's bounced off a red knee it's
xfbfjWjTF1s,243680,245760,bernadino and it's over the bar and it
xfbfjWjTF1s,245760,248560,was deflected
xfbfjWjTF1s,252400,254319,van dyke got a head on it really for
xfbfjWjTF1s,254319,256799,manchester city to keep it alive
xfbfjWjTF1s,256799,258959,and keep manchester city in this
xfbfjWjTF1s,258959,262000,semi-final it's raheem sterling sterling
xfbfjWjTF1s,262000,266360,and allison behind it for liverpool
xfbfjWjTF1s,269600,271600,thanks for checking out the bbc sport
xfbfjWjTF1s,271600,273440,youtube channel remember to give this
xfbfjWjTF1s,273440,275680,video a like and make sure you subscribe
xfbfjWjTF1s,275680,277520,and hit the bell button so you never
xfbfjWjTF1s,277520,281360,miss an upload see you soon
