vid,start,end,text
GAZpNGwjcwM,0,7020,tú y yo en vivo niñas  como esta
GAZpNGwjcwM,7020,9830,si me veo
GAZpNGwjcwM,14990,21340,puesto  no sé  muy crítico
GAZpNGwjcwM,21340,26420,este tanto seguidas  depende
GAZpNGwjcwM,26420,29350,springsteen
GAZpNGwjcwM,35570,38570,hoy
GAZpNGwjcwM,41910,47680,i  y ya
GAZpNGwjcwM,47900,54140,jackie  porque es nuevecito el camote a mí y  ahora sí es más guerrero o las chicas
GAZpNGwjcwM,54140,60170,llevando arreglando este mando maquillan  un poquito bueno llama maquilla hola
GAZpNGwjcwM,60170,69680,bueno llegué desde temprana hora fue la  nómina 819 no marcas de aprender muy  bien no me dice el gran el grande el
GAZpNGwjcwM,69680,76909,gran dios de peinado aquí dice que pasó  con hero aguante meta les digo que pasó  este ahora mismo el grandioso peinado
GAZpNGwjcwM,76909,82700,victims eligieron una éste transmite  aunque no esté es éste
GAZpNGwjcwM,82700,88969,que sacarte una chicha al mar menor y  que fuera aquí barcelona
GAZpNGwjcwM,88969,94490,este que ahí se me olvidó a ti dije que  peinado no puedo hacer hoy de planchar
GAZpNGwjcwM,94490,100429,el cabello y solamente me hice un  partido  no sé que reponerme miren me puse este
GAZpNGwjcwM,100429,106360,así bien  y no te quieres quitar sus aretes de tus
GAZpNGwjcwM,106360,112420,labios no todavía más quiero seguir  mucho tiempo con ellos tuve me gusta
GAZpNGwjcwM,112420,120270,todo esto y este como que está como que  me gusta no me saludas bueno pero  incisiones contrayendo
GAZpNGwjcwM,127860,133730,ya  si me quito la toalla hace la primera
GAZpNGwjcwM,133730,138190,semana de la cola  por qué
GAZpNGwjcwM,144340,152120,no  [Aplausos]  [Risas]
GAZpNGwjcwM,153959,160709,hoy obama este amaneció muy bien chicas  porque están ebit y con giros tú nunca
GAZpNGwjcwM,160709,168330,si este caso es algo emocionante  nos hemos maquillado a dios mío
GAZpNGwjcwM,169630,176950,entonces  por qué no vamos porque tengo muchas
GAZpNGwjcwM,176950,182290,cosas porque ayer íbamos a comprar las  botellas de agua ayer pero que creen con
GAZpNGwjcwM,182290,188709,digamos algo de gas cuando empezó a  llover bien feo pero creo que empezó a  llover algo horrible chicas y luego yo
GAZpNGwjcwM,188709,196420,tenía la caja de la barca si la  camioneta sentimiento que luego se  empezó a hacer bien pero a través de  saber llenarse de lodo pues ya existe
GAZpNGwjcwM,196420,201760,que míseros mundo ni para que bajar nos  vamos a mojar todos mejor mañana pues ya
GAZpNGwjcwM,201760,208810,chicas o sea mañana era hoy entonces ya  no estamos bien temprano y que vamos a  ir a hacer muchas cosas y que vamos a ir
GAZpNGwjcwM,208810,214790,al negocio con aquellos train tour  [Música]
GAZpNGwjcwM,214790,221340,entonces esté apoyado yo bien contenta y  en la mañana  andamos haciendo aunque primero menos
GAZpNGwjcwM,221340,228000,que verdad porque pues anda bien  haciendo me lo voy a chicas el chiste  que se nos ocurre primero empezar a
GAZpNGwjcwM,228000,233730,buscar dónde venían botellas cuando se  nos ocurre pasar por la casa donde  estamos rentando que vamos a abrir el
GAZpNGwjcwM,233730,239700,local se acuerdan pues bueno resulta que  ya sabrán ahí estaba el bendito familiar
GAZpNGwjcwM,239700,245930,de géneros  y andaba y pintando la casa por fuera el  chico no se separó te de pintar la casa
GAZpNGwjcwM,245930,252630,porque ya ven cómo estaba toda rayada  entonces ya llegamos y la estaba  pintando junto como otro trabajador
GAZpNGwjcwM,252630,258680,tejeros metió ahí también que es el que  les está contestando chicas los whatsapp  de pedidos de
GAZpNGwjcwM,258680,264390,encima de botas de botas de ahí del  taller ejemplos pues ya compramos las
GAZpNGwjcwM,264390,271170,botellas y luego jeros me dice pues hay  que ir por ellos  para que nos ayuden a descargar las de
GAZpNGwjcwM,271170,278340,la camioneta en la casa no los traen muy  chicas  y quiero invitar a mozart y todo y ahí
GAZpNGwjcwM,278340,283740,es cuando empieza de pinches del oso y  que cambian y que apunte otra ropa este
GAZpNGwjcwM,283740,289530,pantalón no me gusta porque se te nota  las lanchas ya la tu madre pero  normalmente contamos nosotros de ayer en
GAZpNGwjcwM,289530,294380,la noche way y cómo va a estar en su  ropa
GAZpNGwjcwM,296160,302780,[Risas]  me dio risa porque dije pues cuales  noches de minutos
GAZpNGwjcwM,302780,309170,juanes bien y tengo pero quieres decir  que se alentaban las noches de cabrón  bueno que veamos en alguna con ese
GAZpNGwjcwM,309170,314950,pantalón y ya va y tu nuevo poner mejor  diario llenó toda la vida me va a poner  ya para ver en alguna
GAZpNGwjcwM,314950,321400,pasajeros de las escribimos del vínculo  en el según el entonces número número  que técnicas
GAZpNGwjcwM,321400,326870,pues ya chicas tendiendo que hacemos  todos así con ellos que vaya para cada
GAZpNGwjcwM,326870,333290,este que ayuda a mail por por una de las  motos de uno de esos trabajadores que  porque estarán a la regla no no sé qué
GAZpNGwjcwM,333290,339950,le pasó de accidente otro trabajador  entonces que se haga tienen hasta las 10  de la noche de hoy estudia ésta han
GAZpNGwjcwM,339950,345160,estado con nosotros chicas y está bien  que casi la mayoría del día han estado  en la casa entonces están ahí abajo
GAZpNGwjcwM,345160,352340,próximo puedo bajar  otra tipo de bajar pero
