vid,start,end,text
xd0_B5OQOuk,4487,7710,Günaydın. Saat şu an 6
xd0_B5OQOuk,7710,10460,Bugüne verimli başlamak istiyorum
xd0_B5OQOuk,10552,14552,Evet kalkmak uyanmak kolay değil ama bu imkansız olduğu anlamına gelmez
xd0_B5OQOuk,14584,18584,Hadi kalkalım
xd0_B5OQOuk,21418,25418,Dişlerimi fırçalıyorum
xd0_B5OQOuk,33187,37187,Dışarısı hala karanlık. Güneş 07.30 civarı doğuyor
xd0_B5OQOuk,37725,40655,çok dağınık değil ama yine de düzenleyelim
xd0_B5OQOuk,40738,44738,çoğunlukla masam çok çabuk dağılıyor
xd0_B5OQOuk,46103,50103,bu arada yeni tırnaklarım.Çok sevdim
xd0_B5OQOuk,52153,55849,Tatlı değil mi?
xd0_B5OQOuk,55849,58514,Sabah cilt bakımı benim olmazsa olmazımdır
xd0_B5OQOuk,58514,62514,çünkü kış cildimi çok kurutuyor bu yüzden tonik uyguluyorum
xd0_B5OQOuk,68385,72385,saçım ve vücudum için koku. Sadece modum için yapıyorum
xd0_B5OQOuk,72894,76894,Çiçek gibi kokuyor
xd0_B5OQOuk,77645,81645,son olarak el kremi(şeftali çiçeği)
xd0_B5OQOuk,82727,84847,Sabah rutinim bitti
xd0_B5OQOuk,84911,86752,Kahvaltı zamanı
xd0_B5OQOuk,86752,90752,sabahları basit şeyler yiyorum. Eğer yemezsem enerji toplayamıyorum
xd0_B5OQOuk,91000,94933,şimdiye kadar kahvaltıda en iyi öğün mısır gevreğidir.Biliyorsunuz
xd0_B5OQOuk,94933,95713,Süt ekle
xd0_B5OQOuk,98380,102380,ve biraz yaban mersini
xd0_B5OQOuk,106540,110540,Kahvaltım hazır
xd0_B5OQOuk,111676,115676,bu arada sütlü çay yaptım. Çünkü kahvem bitmişti
xd0_B5OQOuk,115986,119986,"ama , sütlü çay da lezzetli"
xd0_B5OQOuk,122263,126263,Hadi yiyelim
xd0_B5OQOuk,132875,135375,Çok lezzetli
xd0_B5OQOuk,135446,138719,Sabahları netflix izlemiyorum. Çünkü eğer izlersem tembelleşebilirim.
xd0_B5OQOuk,139982,143982,Ve günümü hiçbir şey yapmadan bitiririm.
xd0_B5OQOuk,144545,148545,yoğurdun son kullanma tarihine bakıyorum
xd0_B5OQOuk,149232,153232,artık karanlık değil
xd0_B5OQOuk,156685,159665,TOEIC testi çözeceğim
xd0_B5OQOuk,159934,163354,çünkü Şubat ayında sınava girmek istiyorum
xd0_B5OQOuk,163532,166336,Daha önce IELTS sertifikam vardı
xd0_B5OQOuk,166336,169676,ama geçen yıl süresi doldu
xd0_B5OQOuk,169775,173775,bu yüzden yeniden İngilizce sertifikasına ihtiyacım var
xd0_B5OQOuk,178284,181502,İngilizce test çözmek biraz garip.
xd0_B5OQOuk,181545,184454,Uzun zaman oldu
xd0_B5OQOuk,184454,189711,İtiraf ediyorum İngilizce konuşurken hala çok fazla hata yapıyorum
xd0_B5OQOuk,191509,195509,Mükemmel değilim
xd0_B5OQOuk,195680,199680,Bu yüzden hadi çalışalım
xd0_B5OQOuk,202852,206852,Sayıları yazıyorum
xd0_B5OQOuk,217534,221384,şimdi soruları çözüyorum
xd0_B5OQOuk,221451,224820,Çok fazla şeyi unutmuşum
xd0_B5OQOuk,224820,228820,Gramer anlamında
xd0_B5OQOuk,235171,239171,Youtube başlamamın bir diğer nedeni de İngilizce'yi unutmamaktı
xd0_B5OQOuk,239568,243568,bu yüzden herhangi bir hata bulursanız düzeltmekte serbestsiniz
xd0_B5OQOuk,243638,247638,Çok minnettar olurum
xd0_B5OQOuk,249379,253379,Dışarıyı neden yine kontrol ediyorum?
xd0_B5OQOuk,254717,258716,Sadece inşaat sesleri duyabiliyorum
xd0_B5OQOuk,260100,264100,"tamam, bu benim mola zamanımdı"
xd0_B5OQOuk,264110,268110,çalışmaya geri dönüyorum
xd0_B5OQOuk,297162,300442,Cevapları kontrol edelim
xd0_B5OQOuk,300444,304444,Kötü değil ama hala saçma hatalarım var
xd0_B5OQOuk,308922,312922,atıştırma zamanı
xd0_B5OQOuk,315594,319594,Bence siz kore dizileri sayesinde bu yoğurda tanıdıksınız
xd0_B5OQOuk,337073,340423,Sıkıldım hadi kitap okuyalım
xd0_B5OQOuk,340502,344502,biraz motivasyon veren bir kitap
xd0_B5OQOuk,355907,359907,"bu kitap, ama korece"
xd0_B5OQOuk,361737,365537,bu kitabı seviyorum çünkü birçok resimi var
xd0_B5OQOuk,365686,369686,çocuk gibiyim. Kim resimleri sever
xd0_B5OQOuk,385796,388766,Yerimi değiştirdim.Çünkü bu cümleleri gerçekten sevdim.
xd0_B5OQOuk,388804,393834,"Bütün okumanı tek bir yerde yapma. Ayağa kalk, uzan, etrafında yürü, sandalyeni değiştir, odanı değiştir.Bu beyninin bir şeyler hissetmesine yardım eder, öğrenmenizi belirli bir yere çok bağlı olmaktan alıkoyar"
xd0_B5OQOuk,394142,397442,Gerçekten de çok doğru
xd0_B5OQOuk,397556,401066,Okurken rahat hissetmelisin
xd0_B5OQOuk,401240,403603,Önemli bir şeyi unuttum
xd0_B5OQOuk,403603,407603,Tahmin edin ne?
xd0_B5OQOuk,413934,417643,Bugünkü yapılacaklar listesini yapmak
xd0_B5OQOuk,417720,421720,Tam olarak ne yapacağımı biliyor ama akşam yaptıklarıma baktığımda kendimi gururlu hissediyorum
xd0_B5OQOuk,421924,425924,bazen utanmış hissediyorum bildiğin gibi
xd0_B5OQOuk,443303,447303,Bu kitaptan bir şeyler göstermek istiyorum
xd0_B5OQOuk,462894,465044,Bu cümlelere aşık oldum
xd0_B5OQOuk,465134,469134,Boşver. Her türlü şeyden geçmek zorunda kalacaksın.Birinin kötü olması hayatını bitirmez
xd0_B5OQOuk,477905,481905,biraz yürüyüş yapmaya karar verdim çünkü hava çok güzel
xd0_B5OQOuk,483634,487634,Üniversitemi özledim
xd0_B5OQOuk,496857,500857,sıcak kahveyle birlikte biraz yürüyüş yapalım
xd0_B5OQOuk,510880,514880,Kış gibi değil de ilkbahar gibi hissettiriyor
xd0_B5OQOuk,527878,531878,Güneş parlıyor
xd0_B5OQOuk,539417,543417,izlediğiniz için çok teşekkür ederim(çeviren gizem)
