vid,start,end,text
AXOfw9x-hVw,3840,5020,everything
AXOfw9x-hVw,5020,14459,[Music]
AXOfw9x-hVw,20880,24800,[Music]
AXOfw9x-hVw,24800,26800,i don't think i don't even know what
AXOfw9x-hVw,26800,30680,normal would be
AXOfw9x-hVw,37680,41719,this is the way to do it
AXOfw9x-hVw,46320,48060,this is the way to do it
AXOfw9x-hVw,48060,50640,[Music]
AXOfw9x-hVw,50640,54430,this is the way to do it
AXOfw9x-hVw,54430,57570,[Music]
AXOfw9x-hVw,59280,60620,this is the way to do it
AXOfw9x-hVw,60620,63600,[Music]
AXOfw9x-hVw,63600,67370,that's the way to do it
AXOfw9x-hVw,67370,84069,[Music]
AXOfw9x-hVw,84159,87840,this is the way to do it
AXOfw9x-hVw,87920,91520,this is the hill that i die on
AXOfw9x-hVw,92000,96200,how are you right now
AXOfw9x-hVw,100840,105920,[Music]
AXOfw9x-hVw,105920,108270,son
AXOfw9x-hVw,108270,138080,[Music]
AXOfw9x-hVw,138080,142520,i wanna move outside of the sea
AXOfw9x-hVw,143940,145280,[Music]
AXOfw9x-hVw,145280,149080,and have a goat farm
AXOfw9x-hVw,150310,162139,[Music]
AXOfw9x-hVw,162720,166160,i'm not a normal person
AXOfw9x-hVw,166959,169660,i'm not a normal person
AXOfw9x-hVw,169660,175930,[Music]
AXOfw9x-hVw,176160,178310,normal person
AXOfw9x-hVw,178310,186918,[Music]
AXOfw9x-hVw,192560,195519,i didn't compare myself to other models
AXOfw9x-hVw,195519,199360,i compared myself to myself from myself
AXOfw9x-hVw,199360,200640,to myself
AXOfw9x-hVw,200640,202800,from myself to myself
AXOfw9x-hVw,202800,204959,from myself to myself
AXOfw9x-hVw,204959,207120,from myself to myself
AXOfw9x-hVw,207120,210400,from myself to myself from myself to
AXOfw9x-hVw,210400,211440,myself
AXOfw9x-hVw,211440,213599,from myself to myself
AXOfw9x-hVw,213599,216599,from
AXOfw9x-hVw,247120,248490,myself
AXOfw9x-hVw,248490,251800,[Music]
AXOfw9x-hVw,257440,260440,e
AXOfw9x-hVw,271520,275800,i wanna kiss you in paris
AXOfw9x-hVw,293919,296390,cross country
AXOfw9x-hVw,296390,316160,[Music]
AXOfw9x-hVw,316160,317340,so
AXOfw9x-hVw,317340,326720,[Music]
AXOfw9x-hVw,326720,329720,is
AXOfw9x-hVw,334650,343389,[Music]
AXOfw9x-hVw,343440,344600,is
AXOfw9x-hVw,344600,360739,[Music]
AXOfw9x-hVw,365120,368120,changes
AXOfw9x-hVw,374700,382329,[Music]
AXOfw9x-hVw,382800,385280,why i look like my dad or my mom why i
AXOfw9x-hVw,385280,387120,like
AXOfw9x-hVw,387120,389600,why i look like my dad or my mom why i
AXOfw9x-hVw,389600,391360,like i don't know
AXOfw9x-hVw,391360,393919,why i look like my dad or my mom why i
AXOfw9x-hVw,393919,395759,like
AXOfw9x-hVw,395759,398240,why i look like my dad or my mom why i
AXOfw9x-hVw,398240,402039,like i don't know
AXOfw9x-hVw,402230,435889,[Music]
AXOfw9x-hVw,447199,449830,uh
AXOfw9x-hVw,449830,459909,[Music]
AXOfw9x-hVw,460319,462720,i don't believe you can plan
AXOfw9x-hVw,462720,466479,i believe life happens to you
AXOfw9x-hVw,467580,476238,[Music]
AXOfw9x-hVw,476560,478960,i don't believe you can plan
AXOfw9x-hVw,478960,481750,i believe life happens to you
AXOfw9x-hVw,481750,504089,[Music]
AXOfw9x-hVw,516479,519479,changing
AXOfw9x-hVw,525600,528668,[Music]
AXOfw9x-hVw,530640,533040,i don't believe you can plan
AXOfw9x-hVw,533040,536540,i believe life happens to you
AXOfw9x-hVw,536540,568240,[Music]
AXOfw9x-hVw,568240,570570,so
AXOfw9x-hVw,570570,575779,[Music]
AXOfw9x-hVw,577870,582259,[Music]
AXOfw9x-hVw,587860,593058,[Music]
AXOfw9x-hVw,596500,601700,[Music]
AXOfw9x-hVw,605140,618990,[Music]
AXOfw9x-hVw,629430,633370,[Music]
AXOfw9x-hVw,640720,643720,myself
AXOfw9x-hVw,647440,678619,[Music]
AXOfw9x-hVw,684880,687880,is
