vid,start,end,text
LG36jUN88mQ,5359,6930,you nervous
LG36jUN88mQ,6930,9719,Vic this is the biggie let's cover the
LG36jUN88mQ,9719,12330,ultimate breakthrough finally yeah H&R
LG36jUN88mQ,12330,14160,sites at last we need to lay all this
LG36jUN88mQ,14160,16470,it's not gonna be an easy ride oh we
LG36jUN88mQ,16470,18960,need to break DC Taylor he was caught in
LG36jUN88mQ,18960,21210,an RTA with an NDI you hopefully can
LG36jUN88mQ,21210,23130,help ac-12 establish links for the IOC
LG36jUN88mQ,23130,24240,Jay great work
LG36jUN88mQ,24240,26609,get some rest last night yeah listen to
LG36jUN88mQ,26609,29099,REM on my mp3 they're much DIY SOS on
LG36jUN88mQ,29099,39360,the BBC mr. happy for the DL RDS honored
LG36jUN88mQ,39360,41100,and di Fleming have just entered the
LG36jUN88mQ,41100,44280,room yes we know where's TC Taylor's
LG36jUN88mQ,44280,46050,lawyer probably floating up the lag
LG36jUN88mQ,46050,50039,another bubble Oh Kate whatever they
LG36jUN88mQ,50039,52320,told you whatever you think it's wrong
LG36jUN88mQ,52320,54629,what they didn't do it don't know H come
LG36jUN88mQ,54629,55020,on
LG36jUN88mQ,55020,57239,JC Taylor you know how this goes we're
LG36jUN88mQ,57239,58579,just trying to make sense of the [ __ ]
LG36jUN88mQ,58579,62340,almost done closing last case you listen
LG36jUN88mQ,62340,64588,you know the procedures on which we have
LG36jUN88mQ,64588,69750,to follow it don't say anything they've
LG36jUN88mQ,69750,72390,got nothing on you I know I'm the one
LG36jUN88mQ,72390,80310,leading the investigation right so DC
LG36jUN88mQ,80310,83130,Taylor we've met sorry yeah I don't know
LG36jUN88mQ,83130,84659,why I said murder that has not been
LG36jUN88mQ,84659,90299,proved yet let us proceed interview
LG36jUN88mQ,90299,92130,commence from a DC tailor his legal
LG36jUN88mQ,92130,93390,counsel is now present
LG36jUN88mQ,93390,95869,don't say anything let me do the talking
LG36jUN88mQ,95869,98579,DC Taylor you know if you feel to
LG36jUN88mQ,98579,101610,cooperate you're facing life why oh
LG36jUN88mQ,101610,102570,thank god
LG36jUN88mQ,102570,104250,thank God to prison that's what life
LG36jUN88mQ,104250,106829,means life in prison what your entire
LG36jUN88mQ,106829,110549,life a minimum of 25 years Oh 25 years I
LG36jUN88mQ,110549,114500,bet it reduced already you're welcome
LG36jUN88mQ,115280,116579,okay
LG36jUN88mQ,116579,118710,the victim was found dead wearing
LG36jUN88mQ,118710,121950,jackets shown in kf1 why was on a jacket
LG36jUN88mQ,121950,124079,match this glove found in Verve DC
LG36jUN88mQ,124079,125590,Taylor's car hearts
LG36jUN88mQ,125590,128890,take a saucer tiny I won't fit me feel
LG36jUN88mQ,128890,142349,free to prove it you're not even trying
LG36jUN88mQ,142349,144010,there you go
LG36jUN88mQ,144010,148599,snug as a bug it's it's stretchy means
LG36jUN88mQ,148599,150880,nothing I can always wash I do fade
LG36jUN88mQ,150880,152200,she's working with someone inside the
LG36jUN88mQ,152200,154480,organization he could get full access to
LG36jUN88mQ,154480,159370,my vehicle obviously planted there's a
LG36jUN88mQ,159370,162030,possibility that we're looking into
LG36jUN88mQ,162030,163540,that's funny
LG36jUN88mQ,163540,165760,you've got exactly the same maker glove
LG36jUN88mQ,165760,170200,in your pocket there's anyone let's do
LG36jUN88mQ,170200,175299,the assault it's not that it would be
LG36jUN88mQ,175299,181530,that stupid no wait I mean yeah Jules
LG36jUN88mQ,181530,186220,look Your Honor I'm not a judge I'd like
LG36jUN88mQ,186220,187930,to present to you categorical evidence
LG36jUN88mQ,187930,189850,that my client was not involved
LG36jUN88mQ,189850,192609,go ahead like I say I would like to
LG36jUN88mQ,192609,194019,present categorical evidence that my
LG36jUN88mQ,194019,196690,client wasn't involved but I haven't got
LG36jUN88mQ,196690,198940,any the amazing if it is I would never
LG36jUN88mQ,198940,202690,be so cool be like there's the evidence
LG36jUN88mQ,202690,205269,case closed am out of here weed swagger
LG36jUN88mQ,205269,209489,out hey pop music slow mo Oh
LG36jUN88mQ,209489,213010,sorry carry on page six paragraph nine
LG36jUN88mQ,213010,214389,in your statement you said you were
LG36jUN88mQ,214389,216220,visiting your parents on st. George's
LG36jUN88mQ,216220,218350,Road at the time of the offence yeah
LG36jUN88mQ,218350,220420,according to multiple sources mr. and
LG36jUN88mQ,220420,222880,mrs. Taylor at the King's Arms at 9:37
LG36jUN88mQ,222880,225489,there's a full hour after the murder and
LG36jUN88mQ,225489,226720,we have no proof of your whereabouts
LG36jUN88mQ,226720,229690,between 7:45 p.m. and 9:30 7:00 p.m. I
LG36jUN88mQ,229690,234639,do according to phone geolocation
LG36jUN88mQ,234639,238900,records I can prove my client was not at
LG36jUN88mQ,238900,242570,the scene of the murder look at this
LG36jUN88mQ,242570,247040,hmm assault I don't want about a club ah
LG36jUN88mQ,247040,252690,this is your bank don't believe this
LG36jUN88mQ,252690,257609,yeah evidence of the location of the
LG36jUN88mQ,257609,261989,phone he was at his parents house thank
LG36jUN88mQ,261989,263690,you
LG36jUN88mQ,263690,267750,well MSE just left his phone there which
LG36jUN88mQ,267750,268860,actually is possible cuz I'm always
LG36jUN88mQ,268860,271800,doing that look what happened today oh
LG36jUN88mQ,271800,275700,oh let me found in Gregg's again
LG36jUN88mQ,275700,279240,yes I'll not please show video sa-7 this
LG36jUN88mQ,279240,282150,is footage taken from the newsagent CCTV
LG36jUN88mQ,282150,283650,seconds before the offense took place
LG36jUN88mQ,283650,285810,and we believe this figure in the
LG36jUN88mQ,285810,287760,balaclava to be the murderer
LG36jUN88mQ,287760,289470,from list for edge forensics has to make
LG36jUN88mQ,289470,291930,the perp to be 6 foot 2 you match that
LG36jUN88mQ,291930,296040,profile you say what should you as well
LG36jUN88mQ,296040,298140,who want the same shoes a lot of people
LG36jUN88mQ,298140,300420,have those shoes you told me last week
LG36jUN88mQ,300420,301530,that they were custom-made one of the
LG36jUN88mQ,301530,303330,kinds about I stepped away extra white
LG36jUN88mQ,303330,305520,I've got bone spurs you're supposed to
LG36jUN88mQ,305520,309420,be defending me I know look DFS or not
LG36jUN88mQ,309420,312570,I've studied this footage and I want to
LG36jUN88mQ,312570,314490,know why it is you paused the tape at
LG36jUN88mQ,314490,317010,exactly that point why didn't you let it
LG36jUN88mQ,317010,320669,run on a bit well I know why you didn't
LG36jUN88mQ,320669,322530,want us to see what happens next
LG36jUN88mQ,322530,325550,play a bit more
LG36jUN88mQ,334360,336650,registration that vehicle matched DC
LG36jUN88mQ,336650,339139,tailors is a shame
LG36jUN88mQ,339139,342400,play the next great just in case
LG36jUN88mQ,344440,345919,Ashley's worse
LG36jUN88mQ,345919,348919,why would you show about what's not me
LG36jUN88mQ,348919,351259,that's a Kirby accent I'm from the
LG36jUN88mQ,351259,354370,Weddell he says Taylor I say Taylor
LG36jUN88mQ,354370,356690,somebody's obviously trying to frame me
LG36jUN88mQ,356690,357979,yes
LG36jUN88mQ,357979,359840,things aren't looking good should I call
LG36jUN88mQ,359840,362720,your attorney you are my attorney I'm
LG36jUN88mQ,362720,363110,your lawyer
LG36jUN88mQ,363110,365900,it's the same thing all rights professor
LG36jUN88mQ,365900,369430,Laurie McLaughlin watching Ally McBeal
LG36jUN88mQ,369430,373280,no I think I know a way of making all of
LG36jUN88mQ,373280,377770,this just blow away
LG36jUN88mQ,386770,388690,you do realize that we are an
LG36jUN88mQ,388690,391150,anti-corruption unit don't you oh that's
LG36jUN88mQ,391150,393040,what I see stands for thought that
LG36jUN88mQ,393040,394660,conditioning didn't make sense also
LG36jUN88mQ,394660,400780,Fiverr was to critique right thank you
LG36jUN88mQ,400780,401800,everyone I think we have all the
LG36jUN88mQ,401800,403510,evidence we need yeah we have our man
LG36jUN88mQ,403510,406090,objection this is not a courtroom
LG36jUN88mQ,406090,407260,overruled
LG36jUN88mQ,407260,409750,I have categorical evidence that my
LG36jUN88mQ,409750,413770,client does not know H go ahead off you
LG36jUN88mQ,413770,415270,go you say you think you're so clever
LG36jUN88mQ,415270,416980,don't you rigging up your extra
LG36jUN88mQ,416980,418570,sketching machine to the big telly and
LG36jUN88mQ,418570,422410,it's just a cable well two can play at
LG36jUN88mQ,422410,423120,that game
LG36jUN88mQ,423120,435370,ac/dc Taylor if my client was not at his
LG36jUN88mQ,435370,436390,parents house
LG36jUN88mQ,436390,440920,then how come these photographs are
LG36jUN88mQ,440920,443260,time-stamped just before and just after
LG36jUN88mQ,443260,445980,the killing
LG36jUN88mQ,453560,467870,skipper thank you
LG36jUN88mQ,468320,475160,proof that my clients must never met H
LG36jUN88mQ,475820,479310,why didn't we know about these sorry sir
LG36jUN88mQ,479310,482720,you see Tyler you're free to go
LG36jUN88mQ,482720,497480,finally nothing is for you
LG36jUN88mQ,498560,501620,fine fine I can't take it anymore
LG36jUN88mQ,501620,505639,lock me up go on DC Taylor we're
LG36jUN88mQ,505639,507919,arresting you for multiple homicides not
LG36jUN88mQ,507919,509600,just amma sighs the murders as well get
LG36jUN88mQ,509600,510710,him out of my sight
LG36jUN88mQ,510710,513169,look a job in the kitchen I do a
LG36jUN88mQ,513169,514760,fantastic match for rosemary
LG36jUN88mQ,514760,517760,it's like Jamie's bullet I add like you
LG36jUN88mQ,517760,521380,can butter to it it's like no tea
LG36jUN88mQ,526790,529940,all the loose ends tied up and now
LG36jUN88mQ,529940,534920,they'll never know that I am age not the
LG36jUN88mQ,534920,537800,blood from steps you don't get to become
LG36jUN88mQ,537800,540260,the leader of the UK's largest criminal
LG36jUN88mQ,540260,542750,organization based on Deptford high
LG36jUN88mQ,542750,544760,street in a derelict warehouse opposite
LG36jUN88mQ,544760,546140,the bakery just around the corner from
LG36jUN88mQ,546140,549530,Nando's without being exceptionally
LG36jUN88mQ,549530,553460,clever sorry I forgot to press stop on
LG36jUN88mQ,553460,562210,the tape it's gonna review it take it
LG36jUN88mQ,563230,565830,oops
LG36jUN88mQ,565830,567890,you
