vid,start,end,text
33fkmSMgOC8,140,2243,- I believe we will be the first to game
33fkmSMgOC8,2243,3750,on a development kit.
33fkmSMgOC8,3750,6440,Words cannot express how excited I am right now.
33fkmSMgOC8,6440,8960,I've completely sequestered myself.
33fkmSMgOC8,8960,11220,I haven't looked at any other coverage.
33fkmSMgOC8,11220,12930,"I haven't looked at any pictures,"
33fkmSMgOC8,12930,15280,and I have not yet opened this box.
33fkmSMgOC8,15280,19369,But inside here is an Xbox Series X.
33fkmSMgOC8,19370,21670,"Totally normal, except for the fact"
33fkmSMgOC8,21670,25000,"that it has 40 gigabytes of Ram,"
33fkmSMgOC8,25000,26670,"extra buttons on the front,"
33fkmSMgOC8,26670,31480,"an OLED display, and it looks absolutely nothing"
33fkmSMgOC8,31480,34440,like the Xbox on the shelf at Best Buy.
33fkmSMgOC8,34440,38090,"That's because this Xbox is not for playing games,"
33fkmSMgOC8,38090,39580,it's for developing them.
33fkmSMgOC8,39580,42660,"And because these dev kits, as they're called,"
33fkmSMgOC8,42660,44300,"are the property of Microsoft,"
33fkmSMgOC8,44300,47100,very few of them make it out into the wild.
33fkmSMgOC8,47100,48309,"Microsoft, by the way,"
33fkmSMgOC8,48310,50715,I know this is technically stolen property.
33fkmSMgOC8,50715,51660,We good?
33fkmSMgOC8,51660,53890,"Just give me a call, I'll have it back to you right away."
33fkmSMgOC8,53890,56899,But I do need to play with it for a little bit first.
33fkmSMgOC8,56900,59150,And play I actually may.
33fkmSMgOC8,59150,61930,Now Gamers Nexus recently also got their hands
33fkmSMgOC8,61930,63500,"on a Series X dev kit,"
33fkmSMgOC8,63500,66790,but they weren't able to actually run any software on it.
33fkmSMgOC8,66790,70580,"As for ours, we believe it may still be in working order."
33fkmSMgOC8,70580,73840,But all of this raises quite a few questions.
33fkmSMgOC8,73840,75409,Why do these kits exist?
33fkmSMgOC8,75410,77070,How the heck has everyone been getting
33fkmSMgOC8,77070,78540,their hands on these lately?
33fkmSMgOC8,78540,80120,Why does it look so different?
33fkmSMgOC8,80120,83430,"And of course, who is today's sponsor?"
33fkmSMgOC8,83430,84490,Humble Bundle.
33fkmSMgOC8,84490,86490,"That's right, we're partnering with Humble Bundle"
33fkmSMgOC8,86490,87799,to support Life Lights
