vid,start,end,text
9QyQmL-mlV0,320,4319,how's this for a diet fat okay red meat
9QyQmL-mlV0,4319,6560,not a problem cheese and cakes you can
9QyQmL-mlV0,6560,8800,eat them to your heart's content and it
9QyQmL-mlV0,8800,11440,gets even better fancy a glass or two of
9QyQmL-mlV0,11440,13840,wine to wash it down go ahead it's good
9QyQmL-mlV0,13840,17199,for you it's fun and it works it's why
9QyQmL-mlV0,17199,19439,french women don't get fat
9QyQmL-mlV0,19439,21039,of course this dream diet has been
9QyQmL-mlV0,21039,23119,around for centuries it's known as the
9QyQmL-mlV0,23119,25920,french paradox and it defies all logic
9QyQmL-mlV0,25920,27840,how come they thrive on all that rich
9QyQmL-mlV0,27840,29279,food and wine
9QyQmL-mlV0,29279,31279,and have lower rates of obesity and
9QyQmL-mlV0,31279,33360,heart disease than we do
9QyQmL-mlV0,33360,36000,well being french you can bet style has
9QyQmL-mlV0,36000,37980,something to do with it
9QyQmL-mlV0,37980,42100,[Music]
9QyQmL-mlV0,47120,50160,take a deep breath and relax pause and
9QyQmL-mlV0,50160,52879,enjoy the view for this is a diet story
9QyQmL-mlV0,52879,54800,with a difference
9QyQmL-mlV0,54800,56800,we're in a small village in france it's
9QyQmL-mlV0,56800,61520,market day and lunch is on our mind
9QyQmL-mlV0,61520,63680,now in australia we're always told don't
9QyQmL-mlV0,63680,65680,eat the skin of the chicken and look at
9QyQmL-mlV0,65680,67200,all the butter this man is putting up
9QyQmL-mlV0,67200,68640,it's the best part
9QyQmL-mlV0,68640,71680,my gastronomic guide is william pay
9QyQmL-mlV0,71680,73840,originally from adelaide this chef has
9QyQmL-mlV0,73840,76880,lived in france for the last 13 years
9QyQmL-mlV0,76880,79360,he's been awarded a prestigious michelin
9QyQmL-mlV0,79360,81759,hat the ultimate symbol of acceptance
9QyQmL-mlV0,81759,83680,here you wouldn't need it like that you
9QyQmL-mlV0,83680,85759,better would oh yeah for sure lots of
9QyQmL-mlV0,85759,87360,mashed potatoes with it it just take up
9QyQmL-mlV0,87360,88960,the butter
9QyQmL-mlV0,88960,90320,for that crunchy bit that's what it's
9QyQmL-mlV0,90320,92640,about
9QyQmL-mlV0,94159,96159,as we all know the french love to thumb
9QyQmL-mlV0,96159,98400,their nose at convention here they've
9QyQmL-mlV0,98400,100560,made political incorrectness and art
9QyQmL-mlV0,100560,102560,form so for instance if the common
9QyQmL-mlV0,102560,104479,wisdom is butter is bad then the french
9QyQmL-mlV0,104479,106399,will eat more butter they feel
9QyQmL-mlV0,106399,108799,absolutely no guilt eating drinking
9QyQmL-mlV0,108799,110720,whatever they want it's an incredibly
9QyQmL-mlV0,110720,113280,liberating way to live and infuriatingly
9QyQmL-mlV0,113280,115360,for the rest of us who spend most of our
9QyQmL-mlV0,115360,117840,lives concerned by what we consume it
9QyQmL-mlV0,117840,121118,seems to be healthy
9QyQmL-mlV0,126079,128000,there's hardly a fatty to be found in
9QyQmL-mlV0,128000,130879,france despite their high-fat diet and
9QyQmL-mlV0,130879,133040,this is the french paradox their
9QyQmL-mlV0,133040,135120,incidence of heart disease is one of the
9QyQmL-mlV0,135120,137920,lowest in the world they have half our
9QyQmL-mlV0,137920,140319,rate of obesity yet they have one of the
9QyQmL-mlV0,140319,144080,richest diets on the planet
9QyQmL-mlV0,145560,148699,[Music]
9QyQmL-mlV0,149280,152239,we don't like you know low fat low this
9QyQmL-mlV0,152239,154640,sugarlessness because it doesn't taste
9QyQmL-mlV0,154640,157360,good i mean you know butter is not it's
9QyQmL-mlV0,157360,158879,not something that's bad for you
9QyQmL-mlV0,158879,160560,chocolate is not something that's bad
9QyQmL-mlV0,160560,161440,for you
9QyQmL-mlV0,161440,164160,eating you know duck fat is not bad for
9QyQmL-mlV0,164160,166400,you but not if you have it you know of
9QyQmL-mlV0,166400,168480,course three times a day and
9QyQmL-mlV0,168480,171120,and the way many countries eat uh you
9QyQmL-mlV0,171120,174239,know mega portions
9QyQmL-mlV0,174400,176319,as president of the champagne house of
9QyQmL-mlV0,176319,177519,verve
9QyQmL-mlV0,177519,179519,murray juliano knows a thing or two
9QyQmL-mlV0,179519,181200,about indulgence
9QyQmL-mlV0,181200,182720,so you see the reason you don't you
9QyQmL-mlV0,182720,184800,don't go down champagne because all the
9QyQmL-mlV0,184800,186879,drama is in a glass you know the elegant
9QyQmL-mlV0,186879,189280,madame giuliano is also the author of
9QyQmL-mlV0,189280,191519,the extremely successful book french
9QyQmL-mlV0,191519,193920,women don't get fat
9QyQmL-mlV0,193920,197760,so why don't french women get fat
9QyQmL-mlV0,197760,199519,because they eat
9QyQmL-mlV0,199519,201840,for pleasure and they they eat with
9QyQmL-mlV0,201840,203920,their five senses so no counting
9QyQmL-mlV0,203920,206159,calories
9QyQmL-mlV0,206159,208030,that's boring
9QyQmL-mlV0,208030,212159,[Music]
9QyQmL-mlV0,212159,215040,all too often like in america we judge
9QyQmL-mlV0,215040,217599,the quality of our food by quantity and
9QyQmL-mlV0,217599,220159,by how quickly we get it and how fast we
9QyQmL-mlV0,220159,221150,can eat it
9QyQmL-mlV0,221150,223680,[Music]
9QyQmL-mlV0,223680,226239,but in france it's all about quality
9QyQmL-mlV0,226239,228319,they even have food police patrolling
9QyQmL-mlV0,228319,230959,cheese shops and delicatessens anywhere
9QyQmL-mlV0,230959,233519,there's food there are fines and lots of
9QyQmL-mlV0,233519,237599,license for poor quality products
9QyQmL-mlV0,237760,240480,cooking for us is very sensual so we
