vid,start,end,text
3Hxt6TH_YZ8,80,2560,no actually stop right now let go
3Hxt6TH_YZ8,2560,3840,allison if you guys want my tick tock
3Hxt6TH_YZ8,3840,5200,today that i posted i was literally
3Hxt6TH_YZ8,5200,8399,saying like oh that's cute
3Hxt6TH_YZ8,8480,10719,i got this air track for free i wanted
3Hxt6TH_YZ8,10719,15000,to do a treatment in my hair and it's
3Hxt6TH_YZ8,16880,18800,good morning guys welcome back to our
3Hxt6TH_YZ8,18800,23600,vlog channel today is thursday no friday
3Hxt6TH_YZ8,23600,25680,and we are going to the invisalign
3Hxt6TH_YZ8,25680,29439,doctor the orthodontist because alison
3Hxt6TH_YZ8,29439,31679,love hair retainers
3Hxt6TH_YZ8,31679,34000,at west palm beach okay
3Hxt6TH_YZ8,34000,36559,good morning
3Hxt6TH_YZ8,36559,38239,retainers
3Hxt6TH_YZ8,38239,40879,good morning bye love you new person
3Hxt6TH_YZ8,40879,43600,threw them away yeah right yeah but what
3Hxt6TH_YZ8,43600,45920,do you mean well she
3Hxt6TH_YZ8,45920,48800,this is foggy one mommy she did it don't
3Hxt6TH_YZ8,48800,50960,you take your retainer every time that
3Hxt6TH_YZ8,50960,52879,you eat in a restaurant you put in your
3Hxt6TH_YZ8,52879,54160,napkin
3Hxt6TH_YZ8,54160,56399,because you don't have your container
3Hxt6TH_YZ8,56399,58559,and you put her in my purse and that
3Hxt6TH_YZ8,58559,60960,looked like a dirty nagging she told us
3Hxt6TH_YZ8,60960,62399,to do and you've been have we've been
3Hxt6TH_YZ8,62399,64158,having a visibility for two years i
3Hxt6TH_YZ8,64158,66960,don't remain
3Hxt6TH_YZ8,67920,69280,no because she's trying to blame you and
3Hxt6TH_YZ8,69280,71360,she literally told me like right when
3Hxt6TH_YZ8,71360,73360,right when she like when i like remember
3Hxt6TH_YZ8,73360,75200,her having it in the purse emily had put
3Hxt6TH_YZ8,75200,76720,her in this line in there without like
3Hxt6TH_YZ8,76720,78720,any napkin and my mom goes put it in a
3Hxt6TH_YZ8,78720,80080,napkin inside my purse you don't lose it
3Hxt6TH_YZ8,80080,82560,in a napkin is that what i did yes what
3Hxt6TH_YZ8,82560,85040,i don't have memory of taking the
3Hxt6TH_YZ8,85040,87840,knacking and throw it away okay
3Hxt6TH_YZ8,87840,90720,no idea so explain what happened with
3Hxt6TH_YZ8,90720,92799,your teeth in less than 24 hours my
3Hxt6TH_YZ8,92799,94640,bottom teeth i have my mom's genetics or
3Hxt6TH_YZ8,94640,96400,something oh
3Hxt6TH_YZ8,96400,98320,everything bad is mom genetic no because
3Hxt6TH_YZ8,98320,100079,your bottom teeth are literally like
3Hxt6TH_YZ8,100079,101759,what's happening to me so basically i
3Hxt6TH_YZ8,101759,103840,don't wear them for two days and this
3Hxt6TH_YZ8,103840,106240,tooth starts going like behind or in
3Hxt6TH_YZ8,106240,108720,front it just starts moving so fast in
3Hxt6TH_YZ8,108720,111200,two days not even and then i put my old
3Hxt6TH_YZ8,111200,113360,retainers in our hair my old invisalign
3Hxt6TH_YZ8,113360,116399,in because she fought okay
3Hxt6TH_YZ8,116399,119520,so so we are to the rescue to see they
3Hxt6TH_YZ8,119520,121680,can do something about he literally told
3Hxt6TH_YZ8,121680,123360,me when like when i first started like
3Hxt6TH_YZ8,123360,125520,little process oh she didn't do anything
3Hxt6TH_YZ8,125520,126640,by the way
3Hxt6TH_YZ8,126640,129360,he told me you can get bottom retainers
3Hxt6TH_YZ8,129360,131280,permanent ones once you're done with
3Hxt6TH_YZ8,131280,133200,your treatment i said okay because like
3Hxt6TH_YZ8,133200,134400,that's so much better than having to
3Hxt6TH_YZ8,134400,135840,take me out every single day and he
3Hxt6TH_YZ8,135840,137520,never did it so now i'm gonna tell him
3Hxt6TH_YZ8,137520,138800,to do it because
3Hxt6TH_YZ8,138800,140160,i don't know if he's gonna do it today i
