vid,start,end,text
Tqlr3Lc-mDc,0,2730,da günaydın Bugün size ikinci tatil
Tqlr3Lc-mDc,2730,5430,videomu çekiyorum ve şimdi hazırlandım
Tqlr3Lc-mDc,5430,8429,kahvaltı salonuna gidiyorum Oradan güne
Tqlr3Lc-mDc,8429,9990,devam edeceğim Bugün çok güzel bir gün
Tqlr3Lc-mDc,9990,12259,olacak güzel gösteriler yapılacak akşam
Tqlr3Lc-mDc,12259,14700,Türkleri falan yapılacakmış çok
Tqlr3Lc-mDc,14700,16890,eğlenceli görüntüler ortaya çıkacağını
Tqlr3Lc-mDc,16890,19170,düşünüyorum Bakalım nasıl olacak bugün
Tqlr3Lc-mDc,19170,21680,beraberiz
Tqlr3Lc-mDc,22500,26310,bu sabahlara kadar sakin sessiz biz bu
Tqlr3Lc-mDc,26310,28369,gün bu bölgede olacağız orta tarafta
Tqlr3Lc-mDc,28369,31380,orada güneşlenmeye düşünüyoruz Allah
Tqlr3Lc-mDc,31380,32970,uzun Biraz güneş diyeceğim Yarın da
Tqlr3Lc-mDc,32970,33980,gideceğim
Tqlr3Lc-mDc,33980,36510,biraz daha fazla kararmak istiyorum
Tqlr3Lc-mDc,36510,39390,hadise-s kırmızı kırmızı kalmayalım
Tqlr3Lc-mDc,39390,42270,böyle şimdi işte kahvaltı sonuna geldim
Tqlr3Lc-mDc,42270,45540,aralar toparlanacak Ondan sonra kahvaltı
Tqlr3Lc-mDc,45540,47239,yapacağım
Tqlr3Lc-mDc,47239,51370,ve sordum açılacak o en son videoyu
Tqlr3Lc-mDc,51370,53020,izlediğinde yorumlarda birkaç yoruma
Tqlr3Lc-mDc,53020,55860,denk geldim Bana kızanlar olmuş
Tqlr3Lc-mDc,55860,58360,yemekleri de çok hızlı geçtim hiçbir şey
Tqlr3Lc-mDc,58360,61600,anlamadım hiçbir şey görmedik çok merak
Tqlr3Lc-mDc,61600,63040,ediliyor zannedersem Ben öyle çok
Tqlr3Lc-mDc,63040,65230,detaylı detaylı çekmiyorum ki hani
Tqlr3Lc-mDc,65230,67000,insanların canı çekmesin diye Sonradan
Tqlr3Lc-mDc,67000,69160,da şey oluyor Çünkü biliyorsunuz yaşlı
Tqlr3Lc-mDc,69160,71890,ne kadar da gösterdi Mevlüt almam İyi
Tqlr3Lc-mDc,71890,73990,vallahi Merhabalar gösterdim ya biz
Tqlr3Lc-mDc,73990,75970,görüyoruz canımı sıkıyor falan Bakın
Tqlr3Lc-mDc,75970,77830,gerçekten orta yolunu bulamıyorum bazen
Tqlr3Lc-mDc,77830,80020,nasıl davranacağımı çok şaşırıyorum ama
Tqlr3Lc-mDc,80020,81910,bugün ballandıra ballandıra çekeceğim
Tqlr3Lc-mDc,81910,86010,Üzgünüm yani bu Bunu siz istiyorsunuz
Tqlr3Lc-mDc,86010,88979,bir kız gördüm
Tqlr3Lc-mDc,88979,93160,Selam gerek okullar gömülüyor çok güzel
Tqlr3Lc-mDc,93160,95740,oluyor ama ya ben de kendime bir şeyler
Tqlr3Lc-mDc,95740,98050,alacağım ne sileceğim Tamam mı Hadi
Tqlr3Lc-mDc,98050,102030,bakalım şimdi tamam mı alayım
Tqlr3Lc-mDc,102900,105450,buradan bir şey almıyorum
Tqlr3Lc-mDc,105450,108360,Bakalım buradan kendime bir
