vid,start,end,text
T_yu4zzHmlQ,1669,4170,qui sait liste est longue et sélective
T_yu4zzHmlQ,4170,7350,et blangy hero 2 si je me trompe pas
T_yu4zzHmlQ,7350,9139,autre ombre
T_yu4zzHmlQ,9139,12740,haute roche par ce programme dont ici
T_yu4zzHmlQ,12740,15020,qualifiez-vous le
T_yu4zzHmlQ,15020,18359,les finales ont très longtemps que sa
T_yu4zzHmlQ,18359,20640,folie qu'a déjà une expérience dans la
T_yu4zzHmlQ,20640,23070,cage qui a vécu déjà dix ans un temps
T_yu4zzHmlQ,23070,27529,mort âge et quand même
T_yu4zzHmlQ,27529,31710,ce soir avec lui pourquoi mais on a une
T_yu4zzHmlQ,31710,33370,opposition à tva
T_yu4zzHmlQ,33370,34840,tant qu'il a quand même un bon striking
T_yu4zzHmlQ,34840,36879,et fuir par mois lui le disais dans qui
T_yu4zzHmlQ,36879,39129,varient l'eni actuellement ses
T_yu4zzHmlQ,39129,41110,concédants y va on va le coach et
T_yu4zzHmlQ,41110,42760,support
T_yu4zzHmlQ,42760,45000,la fois rustique un gabarit
T_yu4zzHmlQ,45000,47260,ap plus est
T_yu4zzHmlQ,47260,49250,pas fous là plus l'enquêté veille dans
T_yu4zzHmlQ,49250,50539,free va certainement chercher la
T_yu4zzHmlQ,50539,53390,distance et tvi tracer ses manches et
T_yu4zzHmlQ,53390,55969,chaque cas si la distance où justement
T_yu4zzHmlQ,55969,58980,c'est pas les enjeux gistoux
T_yu4zzHmlQ,58980,61500,à savoir quand c'est pas forcément fait
T_yu4zzHmlQ,61500,63570,des jours ils sont purs on aimait mais
T_yu4zzHmlQ,63570,65158,puisque les coûts peuvent être portés ça
T_yu4zzHmlQ,65158,67650,peut le gêner dans ses démarches dans
T_yu4zzHmlQ,67650,69240,ces années mais ça va être un combat
T_yu4zzHmlQ,69240,72690,explosif en les deux enfin à pouvoir il
T_yu4zzHmlQ,72690,74640,ay la montre et 20 kg et est capable de
T_yu4zzHmlQ,74640,76440,faire de belles choses on aime aimer ce
T_yu4zzHmlQ,76440,78740,soit et vérifier ses premiers pas et
T_yu4zzHmlQ,78740,81630,comme tout en battant qui se respecte
T_yu4zzHmlQ,81630,84479,ben ils vont faire le show et on voit
T_yu4zzHmlQ,84479,85979,toujours cette manque de respect entre
T_yu4zzHmlQ,85979,88159,les combattants ça c'est
T_yu4zzHmlQ,88159,90210,quelque chose qu'il faudra mettre en
T_yu4zzHmlQ,90210,90580,avant
T_yu4zzHmlQ,90580,92320,[Applaudissements]
T_yu4zzHmlQ,92320,94380,donc la plume et la remontée des mineurs
T_yu4zzHmlQ,94380,98650,de carmaux saylan et tabary goulding
T_yu4zzHmlQ,98650,102870,jamais me fait ch let's go
T_yu4zzHmlQ,106090,108200,l'envoi d'un point qui prend son temps
T_yu4zzHmlQ,108200,111140,ici ses tribuns le bagage de tv mtv cas
T_yu4zzHmlQ,111140,116140,qui examine il s'observe bachar
T_yu4zzHmlQ,116140,119330,al assad le diable ou qui permet
T_yu4zzHmlQ,119330,123010,d'amener une combinaison par la suite
T_yu4zzHmlQ,123010,126700,francky croquis
T_yu4zzHmlQ,126700,130130,voilà donc gros clocher quand même on
T_yu4zzHmlQ,130130,132110,peut voir que tv il a quand même eu une
T_yu4zzHmlQ,132110,135620,frappe conséquente alors à pornic essaie
T_yu4zzHmlQ,135620,137540,de le distraire avec des mouvements de
T_yu4zzHmlQ,137540,140140,main vers la gauche ou sur la droite
T_yu4zzHmlQ,140140,142850,voilà donc ils s'observent et juge la
T_yu4zzHmlQ,142850,144520,distance
T_yu4zzHmlQ,144520,148250,alors tv qui fait aussi un voilà à
T_yu4zzHmlQ,148250,151790,savoir que lorsque les juges notent ils
T_yu4zzHmlQ,151790,153470,essaient également de voir bank est
T_yu4zzHmlQ,153470,156960,prédominant a donc l'envoi glissade
T_yu4zzHmlQ,156960,160170,voilà donc à un gros contrôle de tva il
T_yu4zzHmlQ,160170,164640,a les bras sous les 2 et celle avec un
