vid,start,end,text
WrMGGouem3c,300,4004,(relaxed country-rock music)
WrMGGouem3c,5372,9542,♪ We're caught in a trap ♪
WrMGGouem3c,9542,13712,♪ I can't walk out ♪
WrMGGouem3c,13713,18051,"♪ Because I love you too much, baby ♪"
WrMGGouem3c,19085,22421,(upbeat music)
WrMGGouem3c,22422,26192,♪ Why can't you see ♪
WrMGGouem3c,26192,30463,♪ What you're doing to me ♪
WrMGGouem3c,30463,35468,♪ When you don't believe a word I say? ♪
WrMGGouem3c,39339,43176,♪ We can't go on together ♪
WrMGGouem3c,43176,45545,♪ With suspicious minds ♪
WrMGGouem3c,45545,47447,♪ With suspicious minds ♪
WrMGGouem3c,47447,51483,♪ And we can't build our dreams♪
WrMGGouem3c,51484,54654,♪ On suspicious minds ♪
WrMGGouem3c,55555,59759,♪ So if an old friend I know ♪ ♪ Ooh ♪
WrMGGouem3c,59759,64296,♪ Stops by to say hello ♪ ♪ Ooh ♪
WrMGGouem3c,64296,69635,♪ Would I still see suspicion in your eyes? ♪
WrMGGouem3c,72172,75841,♪ But here we go again ♪ ♪ Ah ♪
WrMGGouem3c,75842,76676,"♪ Ah, ah ♪"
WrMGGouem3c,76676,80513,♪ Asking where I've been ♪
WrMGGouem3c,80513,81381,♪ Ah ♪
WrMGGouem3c,81381,85784,"♪ You can't see the tears are real, I'm cryin ♪"
WrMGGouem3c,85785,89389,"♪ Yes, I'm cryin ♪"
WrMGGouem3c,89389,93359,♪ We can't go on together ♪
WrMGGouem3c,93359,95862,♪ With suspicious minds ♪
WrMGGouem3c,95862,97664,♪ Suspicious minds ♪
WrMGGouem3c,97664,101734,♪ And we can't build our dreams♪
WrMGGouem3c,101734,105572,♪ On suspicious minds ♪
WrMGGouem3c,105572,107840,♪ Ooh ♪
WrMGGouem3c,107841,111111,"♪ Oh, let our love survive ♪"
WrMGGouem3c,111111,112512,♪ Ooh ♪
WrMGGouem3c,112512,116116,♪ I'll dry the tears from your eyes ♪
WrMGGouem3c,116116,117716,♪ Ooh ♪
WrMGGouem3c,117717,121054,♪ Let's don't let a good thing die ♪
WrMGGouem3c,121054,122589,♪ Ooh ♪
WrMGGouem3c,122589,126326,"♪ When honey, you know I've never ♪"
WrMGGouem3c,126326,128694,♪ Lied to you ♪ ♪ Ooh ♪
WrMGGouem3c,128695,133700,"♪ Mmm-mm yeah, yeah ♪ ♪ Yeah, yeah ♪"
WrMGGouem3c,133967,136336,(upbeat music)
WrMGGouem3c,136336,140373,♪ We're caught in a trap ♪
WrMGGouem3c,140373,143943,♪ I can't walk out ♪
WrMGGouem3c,143943,144777,♪ Ooh ♪
WrMGGouem3c,144777,149749,"♪ Because I love you too much, baby ♪"
WrMGGouem3c,151918,152986,♪ Ooh ♪
WrMGGouem3c,152986,156456,♪ Why can't you see ♪
WrMGGouem3c,156456,159092,♪ What you're doin' to me ♪
WrMGGouem3c,159092,160593,"♪ Ooh, ooh, ooh ♪"
WrMGGouem3c,160593,165632,♪ When you don't believe a word I say? ♪
WrMGGouem3c,167333,169135,"♪ Well, don't you know I'm ♪"
WrMGGouem3c,169135,173206,♪ Caught in a trap ♪
WrMGGouem3c,173206,175441,♪ I can't walk out ♪
WrMGGouem3c,175441,177075,"♪ Ooh, ooh, ooh ♪"
WrMGGouem3c,177076,182081,"♪ Because I love you too much, baby ♪"
WrMGGouem3c,183583,185784,"♪ Well, don't you know I'm ♪"
WrMGGouem3c,185785,189656,♪ Caught in a trap ♪
WrMGGouem3c,189656,191925,♪ I can't walk out ♪
WrMGGouem3c,191925,193526,"♪ Ooh, ooh, ooh ♪"
WrMGGouem3c,193526,198531,"♪ Because I love you too much, baby ♪"
WrMGGouem3c,200099,201968,"♪ Well, don't you know I'm ♪"
WrMGGouem3c,201968,206072,♪ Caught in a trap ♪
WrMGGouem3c,206072,208508,♪ I can't walk out ♪
WrMGGouem3c,208508,209776,"♪ Ooh, ooh, ooh ♪ (air whooshes)"
WrMGGouem3c,209776,214080,"♪ Because I love you too much, baby ♪"
WrMGGouem3c,215281,219219,(dramatic piano music)
WrMGGouem3c,219219,221920,(Elvis grunting)
WrMGGouem3c,224891,227427,(bright music)
WrMGGouem3c,229796,233800,(audience applauds) (audience cheers)
