vid,start,end,text
Elxc_kXNkKU,0,2368,[Music]
Elxc_kXNkKU,2368,2868,Class.
Elxc_kXNkKU,3029,3541,Look at the board.
Elxc_kXNkKU,3656,4575,The first letter is 'S'.
Elxc_kXNkKU,5103,5603,Okay.
Elxc_kXNkKU,6200,7625,"Then 'A', 'L', 'I', 'K', 'A'"
Elxc_kXNkKU,7740,8240,San....
Elxc_kXNkKU,8369,9334,Sanjhalika.
Elxc_kXNkKU,10529,11380,The next word is 'Vlog'.
Elxc_kXNkKU,11656,12880,"So, the spelling of Vlog is,"
Elxc_kXNkKU,12880,14576,[Music]
Elxc_kXNkKU,14576,15076,'L'.
Elxc_kXNkKU,15651,17467,"Yes, we will meet at the lunch time."
Elxc_kXNkKU,17468,24885,[Music]
Elxc_kXNkKU,24885,25701,Sorry.
Elxc_kXNkKU,25908,27058,I hit you the duster by mistake.
Elxc_kXNkKU,27655,28155,Anmol?
Elxc_kXNkKU,29471,30093,Who am I?
Elxc_kXNkKU,31334,31886,Where am I?
Elxc_kXNkKU,32782,33495,Am I in Goa?
Elxc_kXNkKU,33495,34691,[Music]
Elxc_kXNkKU,34691,35220,Sorry.
Elxc_kXNkKU,35469,36917,I wanted to hit it on Sweety's face.
Elxc_kXNkKU,37136,38713,As she was using mobile in the class.
Elxc_kXNkKU,38713,40621,[Music]
Elxc_kXNkKU,40621,43218,I was right.
Elxc_kXNkKU,44000,45173,You're using the phone in my class.
Elxc_kXNkKU,45564,47839,Let me take everyone's phone.
Elxc_kXNkKU,48253,48753,Give me the phone.
Elxc_kXNkKU,49351,49851,Shut up.
Elxc_kXNkKU,49851,51081,[Music]
Elxc_kXNkKU,51081,52640,"Sir, please, sorry."
Elxc_kXNkKU,52782,53702,Not at all.
Elxc_kXNkKU,53909,55426,I'll give all the phones to the principal.
Elxc_kXNkKU,55426,59378,[Phone ringing]
Elxc_kXNkKU,59379,60161,"Sir, listen to me."
Elxc_kXNkKU,60161,60661,Shut up.
Elxc_kXNkKU,60920,65287,[Phone ringing]
Elxc_kXNkKU,65288,65788,What's this?
Elxc_kXNkKU,65788,67656,[Music]
Elxc_kXNkKU,67656,68156,Sir?
Elxc_kXNkKU,68156,71742,[Music]
Elxc_kXNkKU,71743,73650,"Sir, I don't have a phone."
Elxc_kXNkKU,73793,74293,Sir.
Elxc_kXNkKU,74615,76384,There's a phone in her pocket.
Elxc_kXNkKU,76385,77472,[Music]
Elxc_kXNkKU,77472,77972,Take out the phone.
Elxc_kXNkKU,77972,80943,[Music]
Elxc_kXNkKU,80943,82345,"See, here's the phone."
