vid,start,end,text
O0gbfvJDsv4,210,4130,- This is the fastest gaming CPU on the planet!
O0gbfvJDsv4,4130,7720,Or at least it was when AMD first announced it.
O0gbfvJDsv4,7720,9139,Intel beats them to the punch
O0gbfvJDsv4,9140,11880,with what they claim is the fastest gaming CPU:
O0gbfvJDsv4,11880,15040,The Core i9-1200KS.
O0gbfvJDsv4,15040,17560,"They put that together so quickly,"
O0gbfvJDsv4,17560,19240,we didn't get a chance to review it
O0gbfvJDsv4,19240,21800,before they shoved it out door.
O0gbfvJDsv4,21800,25349,"What is it about this unassuming little square,"
O0gbfvJDsv4,25350,28730,"the Ryzen 7 5800X3D,"
O0gbfvJDsv4,28730,30520,that's got Intel so scared
O0gbfvJDsv4,30520,33910,that they dropped everything to come out ahead of it?
O0gbfvJDsv4,33910,34760,"I'll tell you,"
O0gbfvJDsv4,34760,37469,but first I'm gonna drop this message from our sponsor.
O0gbfvJDsv4,37470,39640,"- Lambda created with Razer,"
O0gbfvJDsv4,39640,43000,their new Tensorbook comes with an RTX 3080
O0gbfvJDsv4,43000,46360,Linux and Lambda stack with PyTorch and Tensorflow
O0gbfvJDsv4,46360,47610,so machine learning engineers
O0gbfvJDsv4,47610,51050,"can develop AI models anytime, anywhere."
O0gbfvJDsv4,51050,52982,Learn more at the link down below.
O0gbfvJDsv4,55865,58865,(electronic music)
O0gbfvJDsv4,62100,64510,- AMD's new gaming CPU
O0gbfvJDsv4,64510,66730,achieves its fastest ever gaming claims
O0gbfvJDsv4,66730,70180,"by using their shiny new 3D V-Cache technology,"
O0gbfvJDsv4,70180,71810,where ultra-fast cache memory
O0gbfvJDsv4,71810,74090,"is stacked on top of the CPU die,"
O0gbfvJDsv4,74090,77030,in addition to the cache that's already inside it.
O0gbfvJDsv4,77030,79979,But why is cache so important for gaming
O0gbfvJDsv4,79980,81860,that AMD would go out of their way
O0gbfvJDsv4,81860,84590,to literally make a cash sandwich?
O0gbfvJDsv4,84590,89590,"Because it's so close to the CPU cores, it is fast!"
O0gbfvJDsv4,89620,90670,You can think of it roughly
O0gbfvJDsv4,90670,92860,like the relationship between RAM and storage.
O0gbfvJDsv4,92860,94650,And there are different levels of cache
O0gbfvJDsv4,94650,98020,that get even faster the closer they get to the cores.
O0gbfvJDsv4,98020,102079,"3D V-cache is L3 cache, which for the 5800X3D,"
O0gbfvJDsv4,102080,103680,is a shared pool of cache memory
