vid,start,end,text
6_epQjln5ig,180,31469,[Music]
6_epQjln5ig,34270,41669,[Music]
6_epQjln5ig,47520,50520,so
6_epQjln5ig,52950,59359,[Music]
6_epQjln5ig,65110,68579,[Music]
6_epQjln5ig,76910,79439,[Music]
6_epQjln5ig,79439,81700,so
6_epQjln5ig,81700,88539,[Music]
6_epQjln5ig,92270,98599,[Music]
6_epQjln5ig,101330,108540,[Music]
6_epQjln5ig,119759,121070,so
6_epQjln5ig,121070,125270,[Music]
6_epQjln5ig,129649,140088,[Music]
6_epQjln5ig,142690,152079,[Music]
6_epQjln5ig,152319,154560,the new range rover sport sporting
6_epQjln5ig,154560,157200,luxury with attitude
6_epQjln5ig,157200,158879,its dramatic proportions and
6_epQjln5ig,158879,160800,unmistakable profile make for an
6_epQjln5ig,160800,163840,imposing presence
6_epQjln5ig,163920,166239,a vehicle where modernity and refinement
6_epQjln5ig,166239,168720,meet visceral desire design enabling
6_epQjln5ig,168720,170720,technologies such as flush glazing
6_epQjln5ig,170720,173040,enhance its precise clean lines and
6_epQjln5ig,173040,176480,aerodynamic performance
6_epQjln5ig,179680,182080,sophisticated and dynamic range rover
6_epQjln5ig,182080,184800,sports cockpit driving position sets the
6_epQjln5ig,184800,187440,tone for a focused modernist interior
6_epQjln5ig,187440,189040,the sculpted seating provides
6_epQjln5ig,189040,191360,exceptional comfort and stability
6_epQjln5ig,191360,194000,and commanding vision
6_epQjln5ig,194000,196159,technical contemporary materials and our
6_epQjln5ig,196159,198480,latest intuitive pivi pro infotainment
6_epQjln5ig,198480,200879,system including wireless apple carplay
6_epQjln5ig,200879,203120,and android auto create a sense of
6_epQjln5ig,203120,205920,modern luxury
6_epQjln5ig,208239,210560,cabin air purification pro keeps the
6_epQjln5ig,210560,213120,cabin cleaner than ever with pm 2.5
6_epQjln5ig,213120,215680,filtration and nano x ionization
6_epQjln5ig,215680,217599,technology
6_epQjln5ig,217599,219599,powerful meridian signature sound
6_epQjln5ig,219599,221840,delivers high fidelity playback using up
6_epQjln5ig,221840,225120,to 29 speakers
6_epQjln5ig,225120,226799,next generation active noise
6_epQjln5ig,226799,228959,cancellation technology cancels out
6_epQjln5ig,228959,230870,unwanted noise
6_epQjln5ig,230870,233939,[Music]
6_epQjln5ig,236560,238799,digital led headlights provide brilliant
6_epQjln5ig,238799,240959,visibility with a range of up to 500
6_epQjln5ig,240959,243760,meters each using 1.3 million digital
6_epQjln5ig,243760,246080,micro mirrors to precisely tailor the
6_epQjln5ig,246080,248080,beam pattern and maximize light on the
6_epQjln5ig,248080,250319,road
6_epQjln5ig,252480,254720,the new range rover sport is defined by
6_epQjln5ig,254720,258320,powerful electric performance the 510 ps
6_epQjln5ig,258320,260560,extended range electric hybrid has a
6_epQjln5ig,260560,263280,total real-world range of up to 740
6_epQjln5ig,263280,266639,kilometers or 460 miles and the ability
6_epQjln5ig,266639,268960,to accelerate from 0 to 100 kilometers
6_epQjln5ig,268960,272960,per hour in 5.4 seconds or 0 to 60 miles
6_epQjln5ig,272960,276000,per hour in 5.2 seconds combining
6_epQjln5ig,276000,279360,efficiency with thrilling performance
6_epQjln5ig,279360,283280,a 4.4 liter twin turbo v8 delivers 530
6_epQjln5ig,283280,286080,ps and zero to 100 kilometers per hour
6_epQjln5ig,286080,288160,in 4.5 seconds
6_epQjln5ig,288160,290000,in addition a choice of efficiency
6_epQjln5ig,290000,292960,enhancing 48 volt mild hybrid m-hev
6_epQjln5ig,292960,294880,6-cylinder ingenium engines are
6_epQjln5ig,294880,297680,available the optional stormer handling
6_epQjln5ig,297680,299759,pack sharpens your drive with a suite of
6_epQjln5ig,299759,302560,the latest chassis technologies
6_epQjln5ig,302560,304720,dynamic air suspension uses twin air
6_epQjln5ig,304720,306479,chambers to seamlessly switch from
6_epQjln5ig,306479,308639,relaxed cruising to a firm control of
6_epQjln5ig,308639,310560,pitch and roll in hard acceleration or
6_epQjln5ig,310560,312000,braking
6_epQjln5ig,312000,314400,while dynamic response pro minimizes
6_epQjln5ig,314400,316320,body roll for flatter cornering and
6_epQjln5ig,316320,318000,greater stability
6_epQjln5ig,318000,320160,all wheel steering turns the rear wheels
6_epQjln5ig,320160,322639,by up to 7.3 degrees for agile
6_epQjln5ig,322639,324880,maneuvering and responsive overtaking
6_epQjln5ig,324880,326320,torque vectoring by braking
6_epQjln5ig,326320,328479,automatically breaks inside wheels into
6_epQjln5ig,328479,331280,a corner assisting turn-in
6_epQjln5ig,331280,333840,adaptive dynamics is fitted to every new
6_epQjln5ig,333840,336240,range rover sport with twin valve mono
6_epQjln5ig,336240,338320,tube dampers continually managing your
6_epQjln5ig,338320,340639,connection to the road a new dynamic
6_epQjln5ig,340639,342800,mode delivers a more assertive driving
6_epQjln5ig,342800,345199,character by focusing engine gearshift
6_epQjln5ig,345199,348960,steering and suspension response
6_epQjln5ig,350960,353520,terrain response 2 intelligently detects
6_epQjln5ig,353520,355520,and applies the most appropriate vehicle
6_epQjln5ig,355520,357440,settings for the conditions ensuring
6_epQjln5ig,357440,361199,customary land rover capability
6_epQjln5ig,363680,365759,intelligent all-wheel drive delivers
6_epQjln5ig,365759,367759,precisely the right torque to individual
6_epQjln5ig,367759,369759,wheels as you need it continuously
6_epQjln5ig,369759,371600,adapting to the terrain and available
6_epQjln5ig,371600,372490,traction
6_epQjln5ig,372490,374560,[Music]
6_epQjln5ig,374560,376639,the world's first adaptive off-road
6_epQjln5ig,376639,378800,cruise control automatically senses the
6_epQjln5ig,378800,381120,terrain and fine tunes your speed for
6_epQjln5ig,381120,383600,optimum traction and control
6_epQjln5ig,383600,385440,new range rover sport is a seamless
6_epQjln5ig,385440,387440,blend of dynamic sporting performance
6_epQjln5ig,387440,389360,and range rover modern luxury and
6_epQjln5ig,389360,392240,refinement assertive and commanding over
6_epQjln5ig,392240,394479,any terrain it's the most dynamic and
6_epQjln5ig,394479,397910,capable range rover sport ever
6_epQjln5ig,397910,424110,[Music]
6_epQjln5ig,426880,428960,you
