vid,start,end,text
94D-qwuX3d0,900,18710,[Music]
94D-qwuX3d0,19680,21840,all right all right all right
94D-qwuX3d0,21840,25680,it is 1pm time to restart 2pm
94D-qwuX3d0,25680,27760,so we gotta get some food yesterday we
94D-qwuX3d0,27760,29119,had some fun with the impossible burger
94D-qwuX3d0,29119,31679,today we're gonna pack up in this nice
94D-qwuX3d0,31679,33600,friendly whole foods bag we got a whole
94D-qwuX3d0,33600,35280,bunch of cicara meals we'll pack those
94D-qwuX3d0,35280,37200,up and get a little healthier let's see
94D-qwuX3d0,37200,40480,what we got here we got a uh
94D-qwuX3d0,40480,43760,thai burger with root fries there's that
94D-qwuX3d0,43760,46320,and we got what do we got here we got a
94D-qwuX3d0,46320,48559,serenity bowl with pomegranate dressing
94D-qwuX3d0,48559,50160,what about what else we got here we got
94D-qwuX3d0,50160,52239,some watermelon we got some what is that
94D-qwuX3d0,52239,54000,there forbidden rice
94D-qwuX3d0,54000,55520,and greens
94D-qwuX3d0,55520,56800,pasta
94D-qwuX3d0,56800,57840,i don't know we'll throw some [ __ ]
94D-qwuX3d0,57840,59280,together in the bag and go a little
94D-qwuX3d0,59280,60800,healthy for the next couple days why not
94D-qwuX3d0,60800,62480,hey dudes
94D-qwuX3d0,62480,64080,what do i go to first cause you got to
94D-qwuX3d0,64080,65760,get belly rubs over there you got to get
94D-qwuX3d0,65760,67040,better let's start with you because
94D-qwuX3d0,67040,69520,you're jealous and you'll freak out okay
94D-qwuX3d0,69520,71600,okay gotcha you got a little belly rub
94D-qwuX3d0,71600,72400,happening
94D-qwuX3d0,72400,73760,okay but i can't do this for too long
94D-qwuX3d0,73760,74880,cause it's already one o'clock
94D-qwuX3d0,74880,76240,understood
94D-qwuX3d0,76240,79200,yeah is that fair cute little bugger
94D-qwuX3d0,79200,81920,oh what a life huh what a life y'all
94D-qwuX3d0,81920,82880,have
94D-qwuX3d0,82880,84560,that's a good boy
94D-qwuX3d0,84560,86880,you're a good boy yeah give me a little
94D-qwuX3d0,86880,89439,down there all right you're next okay
94D-qwuX3d0,89439,91280,gotta go wifey will take care of you
94D-qwuX3d0,91280,92479,later
94D-qwuX3d0,92479,94479,all right your turn bud oh you look so
94D-qwuX3d0,94479,96400,mopey what's your deal
94D-qwuX3d0,96400,98479,what's your deal you don't want belly
94D-qwuX3d0,98479,102079,rubs yes you do oh yeah okay you guys ha
94D-qwuX3d0,102079,104240,sleep the day away go ahead wake up when
94D-qwuX3d0,104240,106479,the wife wakes up
94D-qwuX3d0,106479,108000,bye bye
94D-qwuX3d0,108000,111040,let's get it started yeah let's get it
94D-qwuX3d0,111040,113200,started yeah i know that's a cover but
94D-qwuX3d0,113200,115040,monastin does it and they do it great
94D-qwuX3d0,115040,117200,and i love it all kinds
94D-qwuX3d0,117200,118960,i watched no joke
94D-qwuX3d0,118960,121040,the italian version of x factor when
94D-qwuX3d0,121040,123200,monoskin was like on there and it's all
94D-qwuX3d0,123200,125439,in italian and i feel like i helped
94D-qwuX3d0,125439,126960,learn a little bit they had subtitles
94D-qwuX3d0,126960,128879,anyway you know so we're back on the
94D-qwuX3d0,128879,130239,monastery kick
94D-qwuX3d0,130239,132560,we're back on this
94D-qwuX3d0,132560,136319,rouge light no glasses today because
94D-qwuX3d0,136319,138080,there's no sun since i got the eye
94D-qwuX3d0,138080,139360,surgery thing
94D-qwuX3d0,139360,141520,you know doctor said that's the you know
94D-qwuX3d0,141520,142959,you'll be more sensitive to like light
94D-qwuX3d0,142959,144640,and all that so right now i'm good so
94D-qwuX3d0,144640,147280,look at that look at those beauties
94D-qwuX3d0,147280,148640,okay what are we doing today we're
94D-qwuX3d0,148640,151280,playing day two of the six max
94D-qwuX3d0,151280,152720,5k
94D-qwuX3d0,152720,154480,i haven't looked at my table draw that's
94D-qwuX3d0,154480,156319,something i should have done before we
94D-qwuX3d0,156319,159360,did this driving video
94D-qwuX3d0,159920,161519,yeah hold on i'm gonna answer this
94D-qwuX3d0,161519,163920,message
94D-qwuX3d0,165200,167440,i will tell him
94D-qwuX3d0,167440,169200,who is this now why are people calling
94D-qwuX3d0,169200,171840,my phone i never answer the phone ever
94D-qwuX3d0,171840,173760,but people call my phone text me it's
94D-qwuX3d0,173760,177200,2022 what is this all right sex max
94D-qwuX3d0,177200,180560,5k this is the brain that i have yeah
94D-qwuX3d0,180560,186159,5k 6 max day 2 good stack um
94D-qwuX3d0,186400,187920,gonna continue to play as i was playing
94D-qwuX3d0,187920,190800,last night it just like clicked really
94D-qwuX3d0,190800,192239,um
94D-qwuX3d0,192239,193440,there's a different brand of poker
94D-qwuX3d0,193440,194959,required
94D-qwuX3d0,194959,196560,against like the super high roller
94D-qwuX3d0,196560,197599,geniuses
94D-qwuX3d0,197599,199599,the 5ks are not that
94D-qwuX3d0,199599,200720,you know sometimes you're gonna have
94D-qwuX3d0,200720,202080,some you know geniuses in there of
94D-qwuX3d0,202080,204080,course but it's not
94D-qwuX3d0,204080,206239,littered with them so i can get away
94D-qwuX3d0,206239,208319,with a lot of different
94D-qwuX3d0,208319,210319,types of what is this how is this red
94D-qwuX3d0,210319,212239,still
94D-qwuX3d0,212239,213599,you know what oh there it is okay it's
94D-qwuX3d0,213599,215360,green um
94D-qwuX3d0,215360,217440,i can get away with some stuff
94D-qwuX3d0,217440,219760,that i wouldn't otherwise
94D-qwuX3d0,219760,221280,and again i'm not going to share
94D-qwuX3d0,221280,223360,completely
94D-qwuX3d0,223360,224720,because it's giving up a lot like i give
94D-qwuX3d0,224720,226480,i tell a lot about the hands i play and
94D-qwuX3d0,226480,227680,stuff like that but strategically the
94D-qwuX3d0,227680,229360,adjustments i make specifically for six
94D-qwuX3d0,229360,231920,max i don't want to share them because
94D-qwuX3d0,231920,234000,if i shared them and people knew what i
94D-qwuX3d0,234000,235040,was doing
94D-qwuX3d0,235040,237040,there is a counter i don't want i don't
94D-qwuX3d0,237040,238799,want them to counter the way that they
94D-qwuX3d0,238799,240400,need the counter and rather they keep
94D-qwuX3d0,240400,242239,doing what they're doing which i think
94D-qwuX3d0,242239,244000,is playing
94D-qwuX3d0,244000,244959,a
94D-qwuX3d0,244959,248400,less than ideal strategy
94D-qwuX3d0,248400,250080,so yeah i don't know we'll see what our
94D-qwuX3d0,250080,251519,table looks like
94D-qwuX3d0,251519,253439,and we're gonna play hard today we are
94D-qwuX3d0,253439,256109,going to play horde
94D-qwuX3d0,256109,261120,[Music]
94D-qwuX3d0,261120,262639,okay so here we are at our starting
94D-qwuX3d0,262639,265280,table and check out who we got over here
94D-qwuX3d0,265280,267120,what's up guys right so you know we've
94D-qwuX3d0,267120,268479,talked about playing for a very long
94D-qwuX3d0,268479,270320,time and we played online but now we're
94D-qwuX3d0,270320,272080,ready to go yes go time now it's the
94D-qwuX3d0,272080,274000,real deal what's that it's the real deal
94D-qwuX3d0,274000,275520,it's go time are you nervous a little
94D-qwuX3d0,275520,276880,nervous you nervous you got a lot of
94D-qwuX3d0,276880,278720,chips you have more chips all right
94D-qwuX3d0,278720,280560,don't [ __ ] with me all right you can
94D-qwuX3d0,280560,283840,[ __ ] with me it's fine
94D-qwuX3d0,284000,286240,here we go starting table i think david
94D-qwuX3d0,286240,287840,peters over here
94D-qwuX3d0,287840,289840,the room filling up i got the easy table
94D-qwuX3d0,289840,292320,i love it
94D-qwuX3d0,292720,295199,my man checks the river on a jack 10-9
94D-qwuX3d0,295199,297199,she bluffs because that's what she does
94D-qwuX3d0,297199,298240,every
94D-qwuX3d0,298240,299440,single
94D-qwuX3d0,299440,303120,hand the overbed pot bluff right 75 000.
94D-qwuX3d0,303120,303919,yeah
94D-qwuX3d0,303919,305039,you had nothing he fooled you because he
94D-qwuX3d0,305039,306560,says oh i have a good hand yeah yeah
94D-qwuX3d0,306560,308080,yeah and you said
94D-qwuX3d0,308080,310400,he act like he literally just has zero
94D-qwuX3d0,310400,312320,inches in this path so you bought you
94D-qwuX3d0,312320,314800,bluff 75k yes this guy over here calls
94D-qwuX3d0,314800,316400,75 000.
94D-qwuX3d0,316400,318560,right and this guy says all in after
94D-qwuX3d0,318560,320320,that she folds because she has nothing
94D-qwuX3d0,320320,322000,as usual
94D-qwuX3d0,322000,324240,and he folded saved himself 35 000 and
94D-qwuX3d0,324240,326000,look at him now big pimping big pimping
94D-qwuX3d0,326000,327840,with all the chips you never you never
94D-qwuX3d0,327840,329039,quit see you're talking about oh it's
94D-qwuX3d0,329039,330639,only 30 000 but he can come back and win
94D-qwuX3d0,330639,332160,it's not no that's the biggest thing i
94D-qwuX3d0,332160,333759,learned right look she folded now
94D-qwuX3d0,333759,335680,because it's camera that's why the only
94D-qwuX3d0,335680,338000,reason
94D-qwuX3d0,340080,341280,all right i'm gonna play this one all
94D-qwuX3d0,341280,343759,right we going to break with 325
94D-qwuX3d0,343759,345600,thousand good start
94D-qwuX3d0,345600,347919,yeah that hand's over okay uh we got a
94D-qwuX3d0,347919,349840,motor to our room over there gonna get
94D-qwuX3d0,349840,352560,me a salad some more waters
94D-qwuX3d0,352560,354400,and i tell you i don't know nothing
94D-qwuX3d0,354400,355680,crazy it turns your hands there was a
94D-qwuX3d0,355680,358479,guy he limped with clean deuce of spades
94D-qwuX3d0,358479,361440,not ideal in six max i raised with aces
