vid,start,end,text
O-zmxr0sqSU,100,8589,[Music]
O-zmxr0sqSU,9200,12000,we are going to get on a boat
O-zmxr0sqSU,12000,14080,this this big thing
O-zmxr0sqSU,14080,16610,we're going to an island
O-zmxr0sqSU,16610,19439,[Music]
O-zmxr0sqSU,19439,21920,just made it to the island
O-zmxr0sqSU,21920,26240,oh it's so beautiful look at all this
O-zmxr0sqSU,26240,28240,meanwhile
O-zmxr0sqSU,28240,31119,hi dora is playing on the
O-zmxr0sqSU,31119,33840,captain kids place also i completely
O-zmxr0sqSU,33840,36480,forgot that today is easter so people
O-zmxr0sqSU,36480,38719,think that i'm dressed up as a bunny
O-zmxr0sqSU,38719,41200,i'm not so anyways we need to get around
O-zmxr0sqSU,41200,43520,the island so we're going to rent a golf
O-zmxr0sqSU,43520,45520,cart
O-zmxr0sqSU,45520,48629,[Music]
O-zmxr0sqSU,52480,55920,and light is driving it
O-zmxr0sqSU,55920,58800,where are we gonna go
O-zmxr0sqSU,65600,68400,right behind us is the rest of the squad
O-zmxr0sqSU,68400,71040,it's charlie sora and jax this whole
O-zmxr0sqSU,71040,73040,island is so beautiful i really hope
O-zmxr0sqSU,73040,75280,that we get to see some sea life
O-zmxr0sqSU,75280,77040,look at that
O-zmxr0sqSU,77040,78479,i don't know why i'm just pointing the
O-zmxr0sqSU,78479,79840,mountains
O-zmxr0sqSU,79840,82960,before i got on the gold cart somebody
O-zmxr0sqSU,82960,85439,just approached me with the dog and she
O-zmxr0sqSU,85439,89520,asked me to hold her dog to take a photo
O-zmxr0sqSU,89520,91119,i don't know why people think i'm the
O-zmxr0sqSU,91119,95520,easter bunny i'm i'm a cinnamon roll
O-zmxr0sqSU,95520,97680,that was so weird
O-zmxr0sqSU,97680,101840,oh my gosh we're going on a hill
O-zmxr0sqSU,104000,106880,oh my gosh light if you drive us off the
O-zmxr0sqSU,106880,108320,hill
O-zmxr0sqSU,108320,110720,no stop
O-zmxr0sqSU,110720,120349,[Music]
O-zmxr0sqSU,123840,127560,we're all running away
O-zmxr0sqSU,129130,133400,[Laughter]
O-zmxr0sqSU,133710,138480,[Music]
O-zmxr0sqSU,138480,141040,what are you doing
O-zmxr0sqSU,141040,144239,you're scratching your back
O-zmxr0sqSU,144239,147280,you're so weird why are you even my
O-zmxr0sqSU,147280,149920,brother ocean
O-zmxr0sqSU,149920,153120,it's water ice water
O-zmxr0sqSU,153120,156680,they're just gonna collapse
O-zmxr0sqSU,157680,160739,[Applause]
O-zmxr0sqSU,163580,165840,[Laughter]
O-zmxr0sqSU,165840,167840,hey hey that's illegal where are you
O-zmxr0sqSU,167840,169280,going
O-zmxr0sqSU,169280,172239,what are you doing
O-zmxr0sqSU,172239,173720,oh my god
O-zmxr0sqSU,173720,176640,[Music]
O-zmxr0sqSU,176640,178959,that is dangerous you want to help me
O-zmxr0sqSU,178959,180239,find the goblin
O-zmxr0sqSU,180239,184640,blue goblin around here yes
O-zmxr0sqSU,184640,186480,you even heard the legend
O-zmxr0sqSU,186480,187680,oh wait
O-zmxr0sqSU,187680,189920,did you hear that i heard it
O-zmxr0sqSU,189920,190800,oh
O-zmxr0sqSU,190800,192159,what's that
O-zmxr0sqSU,192159,193840,okay
O-zmxr0sqSU,193840,197800,oh my god what is he doing
O-zmxr0sqSU,200879,204640,oh god how did you go so fast
O-zmxr0sqSU,205040,207360,i'm coming
O-zmxr0sqSU,207360,208959,goblin
O-zmxr0sqSU,208959,210799,coming for you here come on come sit on
O-zmxr0sqSU,210799,213200,your throne
O-zmxr0sqSU,213200,215680,you collected it
O-zmxr0sqSU,215680,218719,it's already broken
O-zmxr0sqSU,220640,223200,oh god
O-zmxr0sqSU,225840,228080,editor we're picking it up okay actually
O-zmxr0sqSU,228080,229680,where it belongs in the trash because
O-zmxr0sqSU,229680,231440,i'm a good human you don't only have to
O-zmxr0sqSU,231440,233360,call the easter bunny
O-zmxr0sqSU,233360,235120,i would just oh no way business you're
O-zmxr0sqSU,235120,236720,gonna wear a onesie two yeah just
O-zmxr0sqSU,236720,238400,because it's like you know it's easter
O-zmxr0sqSU,238400,239810,why not
O-zmxr0sqSU,239810,242840,[Music]
O-zmxr0sqSU,248000,250560,okay now we're getting off and we are
O-zmxr0sqSU,250560,253519,going to try to find a place to go eat
O-zmxr0sqSU,253519,255200,levi
O-zmxr0sqSU,255200,256479,so what are we thinking what are we
O-zmxr0sqSU,256479,258560,gonna eat
O-zmxr0sqSU,258560,259919,pizza
O-zmxr0sqSU,259919,261759,pizza
O-zmxr0sqSU,261759,264400,there is pizza yeah oh my jacks is going
O-zmxr0sqSU,264400,266000,towards the pizza so we ended up
O-zmxr0sqSU,266000,267600,stopping at the pizza place and this
O-zmxr0sqSU,267600,270440,place is crazy there's so many things
O-zmxr0sqSU,270440,271680,[Music]
O-zmxr0sqSU,271680,274160,look there's clowns in here
O-zmxr0sqSU,274160,276290,and a buffalo
O-zmxr0sqSU,276290,287399,[Music]
O-zmxr0sqSU,288639,291600,okay we're back on the golf carts look
O-zmxr0sqSU,291600,293840,at how pretty this is
O-zmxr0sqSU,293840,295759,so we're going to stop by the swings
O-zmxr0sqSU,295759,297199,really quick because light really wants
O-zmxr0sqSU,297199,300080,to get on the swings
O-zmxr0sqSU,303919,305950,he's going to fly
O-zmxr0sqSU,305950,309070,[Music]
O-zmxr0sqSU,311440,313610,my gosh
O-zmxr0sqSU,313610,318240,[Music]
O-zmxr0sqSU,318240,320720,everyone was up here except for levi
O-zmxr0sqSU,320720,321840,because
O-zmxr0sqSU,321840,324880,he had to stop by the bathroom
O-zmxr0sqSU,324880,326960,you can see him all the way over there
O-zmxr0sqSU,326960,331919,he's that little he's he's he's right
O-zmxr0sqSU,331919,335039,there he's getting closer
O-zmxr0sqSU,335039,339840,he's waiting he's waving hey
O-zmxr0sqSU,341600,344240,okay so levi for some reason somehow
O-zmxr0sqSU,344240,346560,ended up all the way up there
O-zmxr0sqSU,346560,347840,do you see him
O-zmxr0sqSU,347840,351479,he's up there
O-zmxr0sqSU,355340,359100,[Music]
O-zmxr0sqSU,359520,362520,oh
O-zmxr0sqSU,369199,370880,come on kids
O-zmxr0sqSU,370880,373759,cheesy diapers
O-zmxr0sqSU,373759,376000,okay we're finally on our way back
O-zmxr0sqSU,376000,378000,levi why do you have to climb on
O-zmxr0sqSU,378000,380080,everything well there's no one watching
O-zmxr0sqSU,380080,382720,me for once so i can do what i want okay
O-zmxr0sqSU,382720,385280,leave batman watch watch watch you ready
O-zmxr0sqSU,385280,387360,okay are you gonna jump i need a smaller
O-zmxr0sqSU,387360,388319,ledge
O-zmxr0sqSU,388319,389440,okay
O-zmxr0sqSU,389440,391039,yeah i got you let's stay there
O-zmxr0sqSU,391039,392960,okay
O-zmxr0sqSU,392960,394639,what
O-zmxr0sqSU,394639,397360,okay okay sure
O-zmxr0sqSU,397360,400159,smoke effects
O-zmxr0sqSU,402319,404560,that was true
O-zmxr0sqSU,404560,407560,yeah
O-zmxr0sqSU,407610,410709,[Music]
O-zmxr0sqSU,413440,415680,okay okay okay transition transition
O-zmxr0sqSU,415680,418319,transition over we're in a submarine
O-zmxr0sqSU,418319,421039,yeah it's not moving
O-zmxr0sqSU,421039,422630,that is so cool
O-zmxr0sqSU,422630,424160,[Music]
O-zmxr0sqSU,424160,427560,what do you think
O-zmxr0sqSU,429340,439470,[Music]
O-zmxr0sqSU,441840,444880,this is probably the coolest thing
O-zmxr0sqSU,444880,446080,that i've
O-zmxr0sqSU,446080,448840,done in a while
O-zmxr0sqSU,448840,451039,whoa this is so cool we got a lot of
O-zmxr0sqSU,451039,452960,fish around the boat right now as we
